#FORMAT=WebAnno TSV 3.1


#Text=How is it racist?
1-1	0-3	How	
1-2	4-6	is	
1-3	7-9	it	
1-4	10-16	racist	
1-5	16-17	?	

#Text=it also applies to Americans, British, Australians, the french.I would like to see something similar in most countries.
2-1	18-20	it	
2-2	21-25	also	
2-3	26-33	applies	
2-4	34-36	to	
2-5	37-46	Americans	
2-6	46-47	,	
2-7	48-55	British	
2-8	55-56	,	
2-9	57-68	Australians	
2-10	68-69	,	
2-11	70-73	the	
2-12	74-82	french.I	
2-13	83-88	would	
2-14	89-93	like	
2-15	94-96	to	
2-16	97-100	see	
2-17	101-110	something	
2-18	111-118	similar	
2-19	119-121	in	
2-20	122-126	most	
2-21	127-136	countries	
2-22	136-137	.	
