#FORMAT=WebAnno TSV 3.1


#Text=The property transfer tax was brought in 1987 to tamp down real estate speculation as a disincentive against the wealthy.
1-1	0-3	The	
1-2	4-12	property	
1-3	13-21	transfer	
1-4	22-25	tax	
1-5	26-29	was	
1-6	30-37	brought	
1-7	38-40	in	
1-8	41-45	1987	
1-9	46-48	to	
1-10	49-53	tamp	
1-11	54-58	down	
1-12	59-63	real	
1-13	64-70	estate	
1-14	71-82	speculation	
1-15	83-85	as	
1-16	86-87	a	
1-17	88-100	disincentive	
1-18	101-108	against	
1-19	109-112	the	
1-20	113-120	wealthy	
1-21	120-121	.	

#Text=The then premier Bill Vander Zalm introduced it as a counter against the Chinese monies coming in re: Expo 86 promotion of inviting the world.http://bc.ctvnews.ca/the-dreaded-property-transfer-tax-turns-25-1.794001This new tax is a double whammy.Hopefully, Lucianna Brasil is successful in her Class Action claim on behalf of her client.
2-1	122-125	The	
2-2	126-130	then	
2-3	131-138	premier	
2-4	139-143	Bill	
2-5	144-150	Vander	
2-6	151-155	Zalm	
2-7	156-166	introduced	
2-8	167-169	it	
2-9	170-172	as	
2-10	173-174	a	
2-11	175-182	counter	
2-12	183-190	against	
2-13	191-194	the	
2-14	195-202	Chinese	
2-15	203-209	monies	
2-16	210-216	coming	
2-17	217-219	in	
2-18	220-222	re	
2-19	222-223	:	
2-20	224-228	Expo	
2-21	229-231	86	
2-22	232-241	promotion	
2-23	242-244	of	
2-24	245-253	inviting	
2-25	254-257	the	
2-26	258-268	world.http	
2-27	268-269	:	
2-28	269-270	/	
2-29	270-271	/	
2-30	271-284	bc.ctvnews.ca	
2-31	284-285	/	
2-32	285-324	the-dreaded-property-transfer-tax-turns	
2-33	324-325	-	
2-34	325-327	25	
2-35	327-328	-	
2-36	328-340	1.794001This	
2-37	341-344	new	
2-38	345-348	tax	
2-39	349-351	is	
2-40	352-353	a	
2-41	354-360	double	
2-42	361-377	whammy.Hopefully	
2-43	377-378	,	
2-44	379-387	Lucianna	
2-45	388-394	Brasil	
2-46	395-397	is	
2-47	398-408	successful	
2-48	409-411	in	
2-49	412-415	her	
2-50	416-421	Class	
2-51	422-428	Action	
2-52	429-434	claim	
2-53	435-437	on	
2-54	438-444	behalf	
2-55	445-447	of	
2-56	448-451	her	
2-57	452-458	client	
2-58	458-459	.	

#Text=She appears to be counsel with superior ability.http://globalnews.ca/news/2951875/class-action-lawsuit-launched-against-b-c-foreign-home-buyers-tax/She's certainly an up and coming litigator recognised by her peers:http://www.branchmacmaster.com/luciana-brasil/Peer Recognition'Emerging Talent of the Year' - Benchmark Litigation (2016)'Class Actions Leading Practicioner' - Lexpert Canadian Legal Expert Directory (since 2014)'Future Star' -  Benchmark Litigation (2014)\u201CTop Litigator to Watch\u201D - Lexpert US Cross Border Litigation Guide (2009)
3-1	460-463	She	
3-2	464-471	appears	
3-3	472-474	to	
3-4	475-477	be	
3-5	478-485	counsel	
3-6	486-490	with	
3-7	491-499	superior	
3-8	500-512	ability.http	
3-9	512-513	:	
3-10	513-514	/	
3-11	514-515	/	
3-12	515-528	globalnews.ca	
3-13	528-529	/	
3-14	529-533	news	
3-15	533-534	/	
3-16	534-541	2951875	
3-17	541-542	/	
3-18	542-607	class-action-lawsuit-launched-against-b-c-foreign-home-buyers-tax	
3-19	607-608	/	
3-20	608-613	She's	
3-21	614-623	certainly	
3-22	624-626	an	
3-23	627-629	up	
3-24	630-633	and	
3-25	634-640	coming	
3-26	641-650	litigator	
3-27	651-661	recognised	
3-28	662-664	by	
3-29	665-668	her	
3-30	669-674	peers	
3-31	674-675	:	
3-32	675-679	http	
3-33	679-680	:	
3-34	680-681	/	
3-35	681-682	/	
3-36	682-705	www.branchmacmaster.com	
3-37	705-706	/	
3-38	706-720	luciana-brasil	
3-39	720-721	/	
3-40	721-725	Peer	
3-41	726-746	Recognition'Emerging	
3-42	747-753	Talent	
3-43	754-756	of	
3-44	757-760	the	
3-45	761-765	Year	
3-46	765-766	'	
3-47	767-768	-	
3-48	769-778	Benchmark	
3-49	779-789	Litigation	
3-50	790-791	(	
3-51	791-795	2016	
3-52	795-796	)	
3-53	796-797	'	
3-54	797-802	Class	
3-55	803-810	Actions	
3-56	811-818	Leading	
3-57	819-831	Practicioner	
3-58	831-832	'	
3-59	833-834	-	
3-60	835-842	Lexpert	
3-61	843-851	Canadian	
3-62	852-857	Legal	
3-63	858-864	Expert	
3-64	865-874	Directory	
3-65	875-876	(	
3-66	876-881	since	
3-67	882-886	2014	
3-68	886-887	)	
3-69	887-888	'	
3-70	888-894	Future	
3-71	895-899	Star	
3-72	899-900	'	
3-73	901-902	-	
3-74	904-913	Benchmark	
3-75	914-924	Litigation	
3-76	925-926	(	
3-77	926-930	2014	
3-78	930-931	)	
3-79	931-932	“	
3-80	932-935	Top	
3-81	936-945	Litigator	
3-82	946-948	to	
3-83	949-954	Watch	
3-84	954-955	”	
3-85	956-957	-	
3-86	958-965	Lexpert	
3-87	966-968	US	
3-88	969-974	Cross	
3-89	975-981	Border	
3-90	982-992	Litigation	
3-91	993-998	Guide	
3-92	999-1000	(	
3-93	1000-1004	2009	
3-94	1004-1005	)	
