#FORMAT=WebAnno TSV 3.1


#Text=Truth is, that the Molson Canadian 'I Am Canadian' commercial does show visible minorities.
1-1	0-5	Truth	
1-2	6-8	is	
1-3	8-9	,	
1-4	10-14	that	
1-5	15-18	the	
1-6	19-25	Molson	
1-7	26-34	Canadian	
1-8	35-36	'	
1-9	36-37	I	
1-10	38-40	Am	
1-11	41-49	Canadian	
1-12	49-50	'	
1-13	51-61	commercial	
1-14	62-66	does	
1-15	67-71	show	
1-16	72-79	visible	
1-17	80-90	minorities	
1-18	90-91	.	

#Text=Mr.
2-1	92-94	Mr	
2-2	94-95	.	

#Text=Yu should have check his facts, as the video is easily available on YouTube.
3-1	96-98	Yu	
3-2	99-105	should	
3-3	106-110	have	
3-4	111-116	check	
3-5	117-120	his	
3-6	121-126	facts	
3-7	126-127	,	
3-8	128-130	as	
3-9	131-134	the	
3-10	135-140	video	
3-11	141-143	is	
3-12	144-150	easily	
3-13	151-160	available	
3-14	161-163	on	
3-15	164-171	YouTube	
3-16	171-172	.	

#Text=Unless, he sought to deceive.Inuit shown at 0:10 minBoth South Asians and East Asians shown in photos at 0:33 min
4-1	173-179	Unless	
4-2	179-180	,	
4-3	181-183	he	
4-4	184-190	sought	
4-5	191-193	to	
4-6	194-207	deceive.Inuit	
4-7	208-213	shown	
4-8	214-216	at	
4-9	217-218	0	
4-10	218-219	:	
4-11	219-221	10	
4-12	222-229	minBoth	
4-13	230-235	South	
4-14	236-242	Asians	
4-15	243-246	and	
4-16	247-251	East	
4-17	252-258	Asians	
4-18	259-264	shown	
4-19	265-267	in	
4-20	268-274	photos	
4-21	275-277	at	
4-22	278-279	0	
4-23	279-280	:	
4-24	280-282	33	
4-25	283-286	min	
