#FORMAT=WebAnno TSV 3.1


#Text=The author should be aware that in the last 8 years under Harper ....Canada accepted 2 million immigrants of which 25% were refugees...or 200,000 refugees...yes...we should be proud of our record...well done Canada...
1-1	0-3	The	
1-2	4-10	author	
1-3	11-17	should	
1-4	18-20	be	
1-5	21-26	aware	
1-6	27-31	that	
1-7	32-34	in	
1-8	35-38	the	
1-9	39-43	last	
1-10	44-45	8	
1-11	46-51	years	
1-12	52-57	under	
1-13	58-64	Harper	
1-14	65-66	.	
1-15	66-67	.	
1-16	67-68	.	
1-17	68-69	.	
1-18	69-75	Canada	
1-19	76-84	accepted	
1-20	85-86	2	
1-21	87-94	million	
1-22	95-105	immigrants	
1-23	106-108	of	
1-24	109-114	which	
1-25	115-118	25%	
1-26	119-123	were	
1-27	124-132	refugees	
1-28	132-133	.	
1-29	133-134	.	
1-30	134-135	.	
1-31	135-137	or	
1-32	138-145	200,000	
1-33	146-154	refugees	
1-34	154-155	.	
1-35	155-156	.	
1-36	156-157	.	
1-37	157-160	yes	
1-38	160-161	.	
1-39	161-162	.	
1-40	162-163	.	
1-41	163-165	we	
1-42	166-172	should	
1-43	173-175	be	
1-44	176-181	proud	
1-45	182-184	of	
1-46	185-188	our	
1-47	189-195	record	
1-48	195-196	.	
1-49	196-197	.	
1-50	197-198	.	
1-51	198-202	well	
1-52	203-207	done	
1-53	208-214	Canada	
1-54	214-215	.	
1-55	215-216	.	
1-56	216-217	.	
