#FORMAT=WebAnno TSV 3.1


#Text=Victory of democracy over media collusion,corrupt political insiders and '1%' corporate elites and puppet masters!
1-1	0-7	Victory	
1-2	8-10	of	
1-3	11-20	democracy	
1-4	21-25	over	
1-5	26-31	media	
1-6	32-41	collusion	
1-7	41-42	,	
1-8	42-49	corrupt	
1-9	50-59	political	
1-10	60-68	insiders	
1-11	69-72	and	
1-12	73-74	'	
1-13	74-76	1%	
1-14	76-77	'	
1-15	78-87	corporate	
1-16	88-94	elites	
1-17	95-98	and	
1-18	99-105	puppet	
1-19	106-113	masters	
1-20	113-114	!	
