#FORMAT=WebAnno TSV 3.1


#Text=It is a very sad day for progressives everywhere in the world.
1-1	0-2	It	
1-2	3-5	is	
1-3	6-7	a	
1-4	8-12	very	
1-5	13-16	sad	
1-6	17-20	day	
1-7	21-24	for	
1-8	25-37	progressives	
1-9	38-48	everywhere	
1-10	49-51	in	
1-11	52-55	the	
1-12	56-61	world	
1-13	61-62	.	

#Text=Good Editorial by the Globe.
2-1	64-68	Good	
2-2	69-78	Editorial	
2-3	79-81	by	
2-4	82-85	the	
2-5	86-91	Globe	
2-6	91-92	.	

#Text=You nailed it.
3-1	94-97	You	
3-2	98-104	nailed	
3-3	105-107	it	
3-4	107-108	.	

#Text=Trump is unfit for office, however 47.5% of Americans voted for him which is enough to elect him as President.It feels good to be a Canadian today.
4-1	110-115	Trump	
4-2	116-118	is	
4-3	119-124	unfit	
4-4	125-128	for	
4-5	129-135	office	
4-6	135-136	,	
4-7	137-144	however	
4-8	145-150	47.5%	
4-9	151-153	of	
4-10	154-163	Americans	
4-11	164-169	voted	
4-12	170-173	for	
4-13	174-177	him	
4-14	178-183	which	
4-15	184-186	is	
4-16	187-193	enough	
4-17	194-196	to	
4-18	197-202	elect	
4-19	203-206	him	
4-20	207-209	as	
4-21	210-222	President.It	
4-22	223-228	feels	
4-23	229-233	good	
4-24	234-236	to	
4-25	237-239	be	
4-26	240-241	a	
4-27	242-250	Canadian	
4-28	251-256	today	
4-29	256-257	.	

#Text=Can you imagine what it must be like for passionate Democrats today?
5-1	259-262	Can	
5-2	263-266	you	
5-3	267-274	imagine	
5-4	275-279	what	
5-5	280-282	it	
5-6	283-287	must	
5-7	288-290	be	
5-8	291-295	like	
5-9	296-299	for	
5-10	300-310	passionate	
5-11	311-320	Democrats	
5-12	321-326	today	
5-13	326-327	?	
