#FORMAT=WebAnno TSV 3.1


#Text='He\u2019s hardly the choice of the establishment, media, cultural, business or political'and that is why he is the President.Reassuring to see that the silent majority does exist and will rise up when needed.Now all of the 'experts' can tell us how they got it wrong.Bad day to be a pollster.
1-1	0-1	'	
1-2	1-3	He	
1-3	3-4	’	
1-4	4-5	s	
1-5	6-12	hardly	
1-6	13-16	the	
1-7	17-23	choice	
1-8	24-26	of	
1-9	27-30	the	
1-10	31-44	establishment	
1-11	44-45	,	
1-12	46-51	media	
1-13	51-52	,	
1-14	53-61	cultural	
1-15	61-62	,	
1-16	63-71	business	
1-17	72-74	or	
1-18	75-88	political'and	
1-19	89-93	that	
1-20	94-96	is	
1-21	97-100	why	
1-22	101-103	he	
1-23	104-106	is	
1-24	107-110	the	
1-25	111-131	President.Reassuring	
1-26	132-134	to	
1-27	135-138	see	
1-28	139-143	that	
1-29	144-147	the	
1-30	148-154	silent	
1-31	155-163	majority	
1-32	164-168	does	
1-33	169-174	exist	
1-34	175-178	and	
1-35	179-183	will	
1-36	184-188	rise	
1-37	189-191	up	
1-38	192-196	when	
1-39	197-207	needed.Now	
1-40	208-211	all	
1-41	212-214	of	
1-42	215-218	the	
1-43	219-220	'	
1-44	220-227	experts	
1-45	227-228	'	
1-46	229-232	can	
1-47	233-237	tell	
1-48	238-240	us	
1-49	241-244	how	
1-50	245-249	they	
1-51	250-253	got	
1-52	254-256	it	
1-53	257-266	wrong.Bad	
1-54	267-270	day	
1-55	271-273	to	
1-56	274-276	be	
1-57	277-278	a	
1-58	279-287	pollster	
1-59	287-288	.	
