#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.NEGATION|Negations


#Text=Nothing is more satisfying than seeing the political establishment and the biased mainstream media being slapped real hard on the face.
1-1	0-7	Nothing	NEG	
1-2	8-10	is	SCOPE[2]	
1-3	11-15	more	SCOPE[2]	
1-4	16-26	satisfying	SCOPE[2]	
1-5	27-31	than	SCOPE[2]	
1-6	32-38	seeing	SCOPE[2]	
1-7	39-42	the	SCOPE[2]|FOCUS[3]	
1-8	43-52	political	SCOPE[2]|FOCUS[3]	
1-9	53-66	establishment	SCOPE[2]|FOCUS[3]	
1-10	67-70	and	SCOPE[2]	
1-11	71-74	the	SCOPE[2]|FOCUS[4]	
1-12	75-81	biased	SCOPE[2]|FOCUS[4]	
1-13	82-92	mainstream	SCOPE[2]|FOCUS[4]	
1-14	93-98	media	SCOPE[2]|FOCUS[4]	
1-15	99-104	being	SCOPE[2]	
1-16	105-112	slapped	SCOPE[2]	
1-17	113-117	real	SCOPE[2]	
1-18	118-122	hard	SCOPE[2]	
1-19	123-125	on	SCOPE[2]	
1-20	126-129	the	SCOPE[2]	
1-21	130-134	face	SCOPE[2]	
1-22	134-135	.	_	

#Text=So hard that blood is coming out.
2-1	136-138	So	_	
2-2	139-143	hard	_	
2-3	144-148	that	_	
2-4	149-154	blood	_	
2-5	155-157	is	_	
2-6	158-164	coming	_	
2-7	165-168	out	_	
2-8	168-169	.	_	
