#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.NEGATION|Negations
#T_RL=webanno.custom.XNEGATION|BT_webanno.custom.NEGATION


#Text=The polls were wrong.
1-1	0-3	The	_	_	
1-2	4-9	polls	_	_	
1-3	10-14	were	_	_	
1-4	15-20	wrong	_	_	
1-5	20-21	.	_	_	

#Text=Nearly all of them, and many of us knew it.
2-1	22-28	Nearly	_	_	
2-2	29-32	all	_	_	
2-3	33-35	of	_	_	
2-4	36-40	them	_	_	
2-5	40-41	,	_	_	
2-6	42-45	and	_	_	
2-7	46-50	many	_	_	
2-8	51-53	of	_	_	
2-9	54-56	us	_	_	
2-10	57-61	knew	_	_	
2-11	62-64	it	_	_	
2-12	64-65	.	_	_	

#Text=The Silent Majority would make itself known eventually.
3-1	66-69	The	_	_	
3-2	70-76	Silent	_	_	
3-3	77-85	Majority	_	_	
3-4	86-91	would	_	_	
3-5	92-96	make	_	_	
3-6	97-103	itself	_	_	
3-7	104-109	known	_	_	
3-8	110-120	eventually	_	_	
3-9	120-121	.	_	_	

#Text=Unfortunately, the media in all of its zeal to support Hillary did not.
4-1	122-135	Unfortunately	_	_	
4-2	135-136	,	_	_	
4-3	137-140	the	_	_	
4-4	141-146	media	_	_	
4-5	147-149	in	_	_	
4-6	150-153	all	_	_	
4-7	154-156	of	_	_	
4-8	157-160	its	_	_	
4-9	161-165	zeal	_	_	
4-10	166-168	to	_	_	
4-11	169-176	support	XSCOPE[1]	4-14[0_1]	
4-12	177-184	Hillary	XSCOPE[1]|FOCUS[2]	_	
4-13	185-188	did	_	_	
4-14	189-192	not	NEG	_	
4-15	192-193	.	_	_	
