#FORMAT=WebAnno TSV 3.1


#Text=Yes to Uber ONLY if they play by the rules and agree to regulations, insurance and other items to level the playing field.
1-1	0-3	Yes	
1-2	4-6	to	
1-3	7-11	Uber	
1-4	12-16	ONLY	
1-5	17-19	if	
1-6	20-24	they	
1-7	25-29	play	
1-8	30-32	by	
1-9	33-36	the	
1-10	37-42	rules	
1-11	43-46	and	
1-12	47-52	agree	
1-13	53-55	to	
1-14	56-67	regulations	
1-15	67-68	,	
1-16	69-78	insurance	
1-17	79-82	and	
1-18	83-88	other	
1-19	89-94	items	
1-20	95-97	to	
1-21	98-103	level	
1-22	104-107	the	
1-23	108-115	playing	
1-24	116-121	field	
1-25	121-122	.	
