#FORMAT=WebAnno TSV 3.1


#Text=there's certainly plenty of evidence that regular taxis are grimy, smelly affairs.
1-1	0-7	there's	
1-2	8-17	certainly	
1-3	18-24	plenty	
1-4	25-27	of	
1-5	28-36	evidence	
1-6	37-41	that	
1-7	42-49	regular	
1-8	50-55	taxis	
1-9	56-59	are	
1-10	60-65	grimy	
1-11	65-66	,	
1-12	67-73	smelly	
1-13	74-81	affairs	
1-14	81-82	.	

#Text=just walk out your office or hotel and hail one to find out.
2-1	84-88	just	
2-2	89-93	walk	
2-3	94-97	out	
2-4	98-102	your	
2-5	103-109	office	
2-6	110-112	or	
2-7	113-118	hotel	
2-8	119-122	and	
2-9	123-127	hail	
2-10	128-131	one	
2-11	132-134	to	
2-12	135-139	find	
2-13	140-143	out	
2-14	143-144	.	
