#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.NEGATION|Negations


#Text=Not a fan of Uber, sliding scale rates, lack of regulation re someone taking me somewhere, etc.
1-1	0-3	Not	NEG	
1-2	4-5	a	SCOPE[2]	
1-3	6-9	fan	SCOPE[2]	
1-4	10-12	of	SCOPE[2]	
1-5	13-17	Uber	SCOPE[2]|FOCUS[3]	
1-6	17-18	,	SCOPE[2]	
1-7	19-26	sliding	SCOPE[2]|FOCUS[4]	
1-8	27-32	scale	SCOPE[2]|FOCUS[4]	
1-9	33-38	rates	SCOPE[2]|FOCUS[4]	
1-10	38-39	,	SCOPE[2]	
1-11	40-44	lack	SCOPE[2]|FOCUS[5]|NEG[6]	
1-12	45-47	of	SCOPE[2]|FOCUS[5]|SCOPE[7]	
1-13	48-58	regulation	SCOPE[2]|FOCUS[5]|SCOPE[7]|FOCUS[8]	
1-14	59-61	re	SCOPE[2]|FOCUS[5]	
1-15	62-69	someone	SCOPE[2]|FOCUS[5]	
1-16	70-76	taking	SCOPE[2]|FOCUS[5]	
1-17	77-79	me	SCOPE[2]|FOCUS[5]	
1-18	80-89	somewhere	SCOPE[2]|FOCUS[5]	
1-19	89-90	,	SCOPE[2]	
1-20	91-94	etc	SCOPE[2]	
1-21	94-95	.	_	

#Text=However, that's my opinion.
2-1	97-104	However	_	
2-2	104-105	,	_	
2-3	106-112	that's	_	
2-4	113-115	my	_	
2-5	116-123	opinion	_	
2-6	123-124	.	_	

#Text=This editorial states there aren't enough cabs in the city - a rather glaring mistake.
3-1	126-130	This	_	
3-2	131-140	editorial	_	
3-3	141-147	states	_	
3-4	148-153	there	_	
3-5	154-160	aren't	NEG	
3-6	161-167	enough	SCOPE[10]|FOCUS[11]	
3-7	168-172	cabs	SCOPE[10]	
3-8	173-175	in	SCOPE[10]	
3-9	176-179	the	SCOPE[10]	
3-10	180-184	city	SCOPE[10]	
3-11	185-186	-	_	
3-12	187-188	a	_	
3-13	189-195	rather	_	
3-14	196-203	glaring	_	
3-15	204-211	mistake	_	
3-16	211-212	.	_	

#Text=Possibly in outlying areas it may take longer to get a cab, but that would be true of Uber as well.
4-1	213-221	Possibly	_	
4-2	222-224	in	_	
4-3	225-233	outlying	_	
4-4	234-239	areas	_	
4-5	240-242	it	_	
4-6	243-246	may	_	
4-7	247-251	take	_	
4-8	252-258	longer	_	
4-9	259-261	to	_	
4-10	262-265	get	_	
4-11	266-267	a	_	
4-12	268-271	cab	_	
4-13	271-272	,	_	
4-14	273-276	but	_	
4-15	277-281	that	_	
4-16	282-287	would	_	
4-17	288-290	be	_	
4-18	291-295	true	_	
4-19	296-298	of	_	
4-20	299-303	Uber	_	
4-21	304-306	as	_	
4-22	307-311	well	_	
4-23	311-312	.	_	

#Text=But I don't appreciate the media trying to make up my mind for me by providing misinformation.
5-1	314-317	But	_	
5-2	318-319	I	_	
5-3	320-325	don't	NEG	
5-4	326-336	appreciate	SCOPE[13]	
5-5	337-340	the	SCOPE[13]	
5-6	341-346	media	SCOPE[13]	
5-7	347-353	trying	SCOPE[13]	
5-8	354-356	to	SCOPE[13]	
5-9	357-361	make	SCOPE[13]	
5-10	362-364	up	SCOPE[13]	
5-11	365-367	my	SCOPE[13]	
5-12	368-372	mind	SCOPE[13]	
5-13	373-376	for	SCOPE[13]	
5-14	377-379	me	SCOPE[13]	
5-15	380-382	by	SCOPE[13]	
5-16	383-392	providing	SCOPE[13]	
5-17	393-407	misinformation	SCOPE[13]|FOCUS[14]	
5-18	407-408	.	_	
