#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.NEGATION|Negations


#Text=PRINCIPLE: The purpose of technology is to serve humankind, not the other way around.
1-1	0-9	PRINCIPLE	_	
1-2	9-10	:	_	
1-3	11-14	The	_	
1-4	15-22	purpose	_	
1-5	23-25	of	_	
1-6	26-36	technology	_	
1-7	37-39	is	_	
1-8	40-42	to	_	
1-9	43-48	serve	_	
1-10	49-58	humankind	_	
1-11	58-59	,	_	
1-12	60-63	not	NEG	
1-13	64-67	the	SCOPE[2]|FOCUS[3]	
1-14	68-73	other	SCOPE[2]|FOCUS[3]	
1-15	74-77	way	SCOPE[2]|FOCUS[3]	
1-16	78-84	around	SCOPE[2]|FOCUS[3]	
1-17	84-85	.	_	

#Text=APPLICATION: Instead of buying a $500 Apple Watch, buy a $500 Seiko and enjoy a real watch.
2-1	86-97	APPLICATION	_	
2-2	97-98	:	_	
2-3	99-106	Instead	_	
2-4	107-109	of	_	
2-5	110-116	buying	_	
2-6	117-118	a	_	
2-7	119-123	$500	_	
2-8	124-129	Apple	_	
2-9	130-135	Watch	_	
2-10	135-136	,	_	
2-11	137-140	buy	_	
2-12	141-142	a	_	
2-13	143-147	$500	_	
2-14	148-153	Seiko	_	
2-15	154-157	and	_	
2-16	158-163	enjoy	_	
2-17	164-165	a	_	
2-18	166-170	real	_	
2-19	171-176	watch	_	
2-20	176-177	.	_	
