#FORMAT=WebAnno TSV 3.1


#Text=Haul in all the Aboriginal guys and start questioning them...
1-1	0-4	Haul	
1-2	5-7	in	
1-3	8-11	all	
1-4	12-15	the	
1-5	16-26	Aboriginal	
1-6	27-31	guys	
1-7	32-35	and	
1-8	36-41	start	
1-9	42-53	questioning	
1-10	54-58	them	
1-11	58-59	.	
1-12	59-60	.	
1-13	60-61	.	

#Text=Violence starts at home as does everything else!!
2-1	62-70	Violence	
2-2	71-77	starts	
2-3	78-80	at	
2-4	81-85	home	
2-5	86-88	as	
2-6	89-93	does	
2-7	94-104	everything	
2-8	105-109	else	
2-9	109-110	!	
2-10	110-111	!	
