#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.NEGATION|Negations


#Text=Here we go again with one of the left's favorite hobbies - race baiting.
1-1	0-4	Here	_	
1-2	5-7	we	_	
1-3	8-10	go	_	
1-4	11-16	again	_	
1-5	17-21	with	_	
1-6	22-25	one	_	
1-7	26-28	of	_	
1-8	29-32	the	_	
1-9	33-39	left's	_	
1-10	40-48	favorite	_	
1-11	49-56	hobbies	_	
1-12	57-58	-	_	
1-13	59-63	race	_	
1-14	64-71	baiting	_	
1-15	71-72	.	_	

#Text=Any inquiry will point directly to the First Nations' community and all of it own faults.
2-1	74-77	Any	_	
2-2	78-85	inquiry	_	
2-3	86-90	will	_	
2-4	91-96	point	_	
2-5	97-105	directly	_	
2-6	106-108	to	_	
2-7	109-112	the	_	
2-8	113-118	First	_	
2-9	119-126	Nations	_	
2-10	126-127	'	_	
2-11	128-137	community	_	
2-12	138-141	and	_	
2-13	142-145	all	_	
2-14	146-148	of	_	
2-15	149-151	it	_	
2-16	152-155	own	_	
2-17	156-162	faults	_	
2-18	162-163	.	_	

#Text=But, but the evil white man is to blame for all the world's ills right?
3-1	166-169	But	_	
3-2	169-170	,	_	
3-3	171-174	but	_	
3-4	175-178	the	_	
3-5	179-183	evil	_	
3-6	184-189	white	_	
3-7	190-193	man	_	
3-8	194-196	is	_	
3-9	197-199	to	_	
3-10	200-205	blame	_	
3-11	206-209	for	_	
3-12	210-213	all	_	
3-13	214-217	the	_	
3-14	218-225	world's	_	
3-15	226-230	ills	_	
3-16	231-236	right	_	
3-17	236-237	?	_	

#Text=Meanwhile, our so-called journalists have completely ignored another officer involved shooting that occurred on August 11th.
4-1	237-246	Meanwhile	_	
4-2	246-247	,	_	
4-3	248-251	our	_	
4-4	252-261	so-called	_	
4-5	262-273	journalists	_	
4-6	274-278	have	_	
4-7	279-289	completely	_	
4-8	290-297	ignored	_	
4-9	298-305	another	_	
4-10	306-313	officer	_	
4-11	314-322	involved	_	
4-12	323-331	shooting	_	
4-13	332-336	that	_	
4-14	337-345	occurred	_	
4-15	346-348	on	_	
4-16	349-355	August	_	
4-17	356-360	11th	_	
4-18	360-361	.	_	

#Text=In Salt Lake City, the same day Michael Brown was gunned down a black policeman (whose name is still withheld) shot and killed an unarmed 20 year old white person.
5-1	363-365	In	_	
5-2	366-370	Salt	_	
5-3	371-375	Lake	_	
5-4	376-380	City	_	
5-5	380-381	,	_	
5-6	382-385	the	_	
5-7	386-390	same	_	
5-8	391-394	day	_	
5-9	395-402	Michael	_	
5-10	403-408	Brown	_	
5-11	409-412	was	_	
5-12	413-419	gunned	_	
5-13	420-424	down	_	
5-14	425-426	a	_	
5-15	427-432	black	_	
5-16	433-442	policeman	_	
5-17	443-444	(	_	
5-18	444-449	whose	_	
5-19	450-454	name	_	
5-20	455-457	is	_	
5-21	458-463	still	_	
5-22	464-472	withheld	_	
5-23	472-473	)	_	
5-24	474-478	shot	_	
5-25	479-482	and	_	
5-26	483-489	killed	_	
5-27	490-492	an	_	
5-28	493-500	unarmed	_	
5-29	501-503	20	_	
5-30	504-508	year	_	
5-31	509-512	old	_	
5-32	513-518	white	_	
5-33	519-525	person	_	
5-34	525-526	.	_	

#Text=The dead man, Dillon Taylor, like Michael Brown, had a criminal record, was unarmed and was trying to run from police before surrendering and being shot dead.Golly gee, how come ALMOST NO ONE is reporting this?
6-1	528-531	The	_	
6-2	532-536	dead	_	
6-3	537-540	man	_	
6-4	540-541	,	_	
6-5	542-548	Dillon	_	
6-6	549-555	Taylor	_	
6-7	555-556	,	_	
6-8	557-561	like	_	
6-9	562-569	Michael	_	
6-10	570-575	Brown	_	
6-11	575-576	,	_	
6-12	577-580	had	_	
6-13	581-582	a	_	
6-14	583-591	criminal	_	
6-15	592-598	record	_	
6-16	598-599	,	_	
6-17	600-603	was	_	
6-18	604-611	unarmed	_	
6-19	612-615	and	_	
6-20	616-619	was	_	
6-21	620-626	trying	_	
6-22	627-629	to	_	
6-23	630-633	run	_	
6-24	634-638	from	_	
6-25	639-645	police	_	
6-26	646-652	before	_	
6-27	653-665	surrendering	_	
6-28	666-669	and	_	
6-29	670-675	being	_	
6-30	676-680	shot	_	
6-31	681-691	dead.Golly	_	
6-32	692-695	gee	_	
6-33	695-696	,	_	
6-34	697-700	how	_	
6-35	701-705	come	_	
6-36	706-712	ALMOST	_	
6-37	713-715	NO	NEG[1]	
6-38	716-719	ONE	NEG[1]	
6-39	720-722	is	SCOPE[2]	
6-40	723-732	reporting	SCOPE[2]	
6-41	733-737	this	SCOPE[2]|FOCUS[3]	
6-42	737-738	?	_	

#Text=Where are the marchers, rioters,looters and wall-to-wall media coverage?
7-1	740-745	Where	_	
7-2	746-749	are	_	
7-3	750-753	the	_	
7-4	754-762	marchers	_	
7-5	762-763	,	_	
7-6	764-771	rioters	_	
7-7	771-772	,	_	
7-8	772-779	looters	_	
7-9	780-783	and	_	
7-10	784-796	wall-to-wall	_	
7-11	797-802	media	_	
7-12	803-811	coverage	_	
7-13	811-812	?	_	

#Text=Oh right, this story does not fit the MSM mythical racial fairy tale.http://www.wnd.com/2014/08/black-cop-kills-white-man-media-hide-race/
8-1	814-816	Oh	_	
8-2	817-822	right	_	
8-3	822-823	,	_	
8-4	824-828	this	_	
8-5	829-834	story	_	
8-6	835-839	does	_	
8-7	840-843	not	NEG	
8-8	844-847	fit	SCOPE[5]	
8-9	848-851	the	SCOPE[5]|FOCUS[6]	
8-10	852-855	MSM	SCOPE[5]|FOCUS[6]	
8-11	856-864	mythical	SCOPE[5]|FOCUS[6]	
8-12	865-871	racial	SCOPE[5]|FOCUS[6]	
8-13	872-877	fairy	SCOPE[5]|FOCUS[6]	
8-14	878-887	tale.http	SCOPE[5]|FOCUS[6]	
8-15	887-888	:	_	
8-16	888-889	/	_	
8-17	889-890	/	_	
8-18	890-901	www.wnd.com	_	
8-19	901-902	/	_	
8-20	902-906	2014	_	
8-21	906-907	/	_	
8-22	907-909	08	_	
8-23	909-910	/	_	
