#FORMAT=WebAnno TSV 3.1


#Text=I know First Nations people who survived the residential schools and have parented just fine.
1-1	0-1	I	
1-2	2-6	know	
1-3	7-12	First	
1-4	13-20	Nations	
1-5	21-27	people	
1-6	28-31	who	
1-7	32-40	survived	
1-8	41-44	the	
1-9	45-56	residential	
1-10	57-64	schools	
1-11	65-68	and	
1-12	69-73	have	
1-13	74-82	parented	
1-14	83-87	just	
1-15	88-92	fine	
1-16	92-93	.	

#Text=Their kids grew up in loving stable homes.
2-1	94-99	Their	
2-2	100-104	kids	
2-3	105-109	grew	
2-4	110-112	up	
2-5	113-115	in	
2-6	116-122	loving	
2-7	123-129	stable	
2-8	130-135	homes	
2-9	135-136	.	
