#FORMAT=WebAnno TSV 3.1


#Text=A good start to stop Violence against women and children is to address the alcohol and drug addiction on the remote reserves, which drive children to the cities.
1-1	0-1	A	
1-2	2-6	good	
1-3	7-12	start	
1-4	13-15	to	
1-5	16-20	stop	
1-6	21-29	Violence	
1-7	30-37	against	
1-8	38-43	women	
1-9	44-47	and	
1-10	48-56	children	
1-11	57-59	is	
1-12	60-62	to	
1-13	63-70	address	
1-14	71-74	the	
1-15	75-82	alcohol	
1-16	83-86	and	
1-17	87-91	drug	
1-18	92-101	addiction	
1-19	102-104	on	
1-20	105-108	the	
1-21	109-115	remote	
1-22	116-124	reserves	
1-23	124-125	,	
1-24	126-131	which	
1-25	132-137	drive	
1-26	138-146	children	
1-27	147-149	to	
1-28	150-153	the	
1-29	154-160	cities	
1-30	160-161	.	
