#FORMAT=WebAnno TSV 3.1


#Text=Deficits and surpluses are manipulated by economists and bankers.And, it turns out, recessions are as well.Canadians are waking up from a long deep antidemocratic sleep.If you snooze you lose.Further, it turns out, you can be intellectually and spiritually asleep while working two full time jobs.An amazing feat!
1-1	0-8	Deficits	
1-2	9-12	and	
1-3	13-22	surpluses	
1-4	23-26	are	
1-5	27-38	manipulated	
1-6	39-41	by	
1-7	42-52	economists	
1-8	53-56	and	
1-9	57-68	bankers.And	
1-10	68-69	,	
1-11	70-72	it	
1-12	73-78	turns	
1-13	79-82	out	
1-14	82-83	,	
1-15	84-94	recessions	
1-16	95-98	are	
1-17	99-101	as	
1-18	102-116	well.Canadians	
1-19	117-120	are	
1-20	121-127	waking	
1-21	128-130	up	
1-22	131-135	from	
1-23	136-137	a	
1-24	138-142	long	
1-25	143-147	deep	
1-26	148-162	antidemocratic	
1-27	163-171	sleep.If	
1-28	172-175	you	
1-29	176-182	snooze	
1-30	183-186	you	
1-31	187-199	lose.Further	
1-32	199-200	,	
1-33	201-203	it	
1-34	204-209	turns	
1-35	210-213	out	
1-36	213-214	,	
1-37	215-218	you	
1-38	219-222	can	
1-39	223-225	be	
1-40	226-240	intellectually	
1-41	241-244	and	
1-42	245-256	spiritually	
1-43	257-263	asleep	
1-44	264-269	while	
1-45	270-277	working	
1-46	278-281	two	
1-47	282-286	full	
1-48	287-291	time	
1-49	292-299	jobs.An	
1-50	300-307	amazing	
1-51	308-312	feat	
1-52	312-313	!	
