#FORMAT=WebAnno TSV 3.1


#Text=Silly Conservatives ,budgets balance themselves !
1-1	0-5	Silly	
1-2	6-19	Conservatives	
1-3	20-21	,	
1-4	21-28	budgets	
1-5	29-36	balance	
1-6	37-47	themselves	
1-7	48-49	!	

#Text=Everybody knows that Canadian taxpayers are just itching to give more of their money to the Liberals to make the rest of Canada into Qntariowe.
2-1	50-59	Everybody	
2-2	60-65	knows	
2-3	66-70	that	
2-4	71-79	Canadian	
2-5	80-89	taxpayers	
2-6	90-93	are	
2-7	94-98	just	
2-8	99-106	itching	
2-9	107-109	to	
2-10	110-114	give	
2-11	115-119	more	
2-12	120-122	of	
2-13	123-128	their	
2-14	129-134	money	
2-15	135-137	to	
2-16	138-141	the	
2-17	142-150	Liberals	
2-18	151-153	to	
2-19	154-158	make	
2-20	159-162	the	
2-21	163-167	rest	
2-22	168-170	of	
2-23	171-177	Canada	
2-24	178-182	into	
2-25	183-192	Qntariowe	
2-26	192-193	.	
