#FORMAT=WebAnno TSV 3.1


#Text=The budget 'surplus' is minimal, true.
1-1	0-3	The	
1-2	4-10	budget	
1-3	11-12	'	
1-4	12-19	surplus	
1-5	19-20	'	
1-6	21-23	is	
1-7	24-31	minimal	
1-8	31-32	,	
1-9	33-37	true	
1-10	37-38	.	

#Text=But it matters, Jeff, because the Conservatives can now say they are the only party with a credible plan to balance the budget.
2-1	39-42	But	
2-2	43-45	it	
2-3	46-53	matters	
2-4	53-54	,	
2-5	55-59	Jeff	
2-6	59-60	,	
2-7	61-68	because	
2-8	69-72	the	
2-9	73-86	Conservatives	
2-10	87-90	can	
2-11	91-94	now	
2-12	95-98	say	
2-13	99-103	they	
2-14	104-107	are	
2-15	108-111	the	
2-16	112-116	only	
2-17	117-122	party	
2-18	123-127	with	
2-19	128-129	a	
2-20	130-138	credible	
2-21	139-143	plan	
2-22	144-146	to	
2-23	147-154	balance	
2-24	155-158	the	
2-25	159-165	budget	
2-26	165-166	.	
