#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.NEGATION|Negations


#Text=Sorry Tom, nobody told you the election is the over?
1-1	0-5	Sorry	_	
1-2	6-9	Tom	_	
1-3	9-10	,	_	
1-4	11-17	nobody	NEG	
1-5	18-22	told	SCOPE[2]	
1-6	23-26	you	SCOPE[2]	
1-7	27-30	the	SCOPE[2]	
1-8	31-39	election	SCOPE[2]	
1-9	40-42	is	SCOPE[2]	
1-10	43-46	the	SCOPE[2]	
1-11	47-51	over	SCOPE[2]|FOCUS[3]	
1-12	51-52	?	_	

#Text=You're still crying the impossible; so far your ilk have been wrong, wrong.
2-1	53-59	You're	_	
2-2	60-65	still	_	
2-3	66-72	crying	_	
2-4	73-76	the	_	
2-5	77-87	impossible	_	
2-6	87-88	;	_	
2-7	89-91	so	_	
2-8	92-95	far	_	
2-9	96-100	your	_	
2-10	101-104	ilk	_	
2-11	105-109	have	_	
2-12	110-114	been	_	
2-13	115-120	wrong	_	
2-14	120-121	,	_	
2-15	122-127	wrong	_	
2-16	127-128	.	_	
