#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.NEGATION|Negations


#Text='... a larger question is how to deal with China's increasingly petty mean-spiritedness in dealing with Western countries,' now that we've sold our soul to the investment community.Is the application of select tariffs as we try to rebuild our manufacturing capacity across the whole range of products that we are no longer capable of making for ourselves anymore no longer possible in our finance-capital-led 'democracies' ?
1-1	0-1	'	_	
1-2	1-2	.	_	
1-3	2-3	.	_	
1-4	3-4	.	_	
1-5	5-6	a	_	
1-6	7-13	larger	_	
1-7	14-22	question	_	
1-8	23-25	is	_	
1-9	26-29	how	_	
1-10	30-32	to	_	
1-11	33-37	deal	_	
1-12	38-42	with	_	
1-13	43-50	China's	_	
1-14	51-63	increasingly	_	
1-15	64-69	petty	_	
1-16	70-87	mean-spiritedness	_	
1-17	88-90	in	_	
1-18	91-98	dealing	_	
1-19	99-103	with	_	
1-20	104-111	Western	_	
1-21	112-121	countries	_	
1-22	121-122	,	_	
1-23	122-123	'	_	
1-24	124-127	now	_	
1-25	128-132	that	_	
1-26	133-138	we've	_	
1-27	139-143	sold	_	
1-28	144-147	our	_	
1-29	148-152	soul	_	
1-30	153-155	to	_	
1-31	156-159	the	_	
1-32	160-170	investment	_	
1-33	171-183	community.Is	_	
1-34	184-187	the	_	
1-35	188-199	application	_	
1-36	200-202	of	_	
1-37	203-209	select	_	
1-38	210-217	tariffs	_	
1-39	218-220	as	_	
1-40	221-223	we	_	
1-41	224-227	try	_	
1-42	228-230	to	_	
1-43	231-238	rebuild	_	
1-44	239-242	our	_	
1-45	243-256	manufacturing	_	
1-46	257-265	capacity	_	
1-47	266-272	across	_	
1-48	273-276	the	_	
1-49	277-282	whole	_	
1-50	283-288	range	_	
1-51	289-291	of	_	
1-52	292-300	products	_	
1-53	301-305	that	_	
1-54	306-308	we	_	
1-55	309-312	are	_	
1-56	313-315	no	NEG	
1-57	316-322	longer	SCOPE[2]	
1-58	323-330	capable	SCOPE[2]	
1-59	331-333	of	SCOPE[2]	
1-60	334-340	making	SCOPE[2]	
1-61	341-344	for	SCOPE[2]	
1-62	345-354	ourselves	SCOPE[2]|FOCUS[3]	
1-63	355-362	anymore	SCOPE[2]	
1-64	363-365	no	NEG	
1-65	366-372	longer	SCOPE[5]	
1-66	373-381	possible	SCOPE[5]	
1-67	382-384	in	SCOPE[5]	
1-68	385-388	our	SCOPE[5]	
1-69	389-408	finance-capital-led	SCOPE[5]|FOCUS[6]	
1-70	409-410	'	SCOPE[5]	
1-71	410-421	democracies	SCOPE[5]	
1-72	421-422	'	SCOPE[5]	
1-73	423-424	?	_	

#Text=Too many investment portfolios would be threatened ?
2-1	425-428	Too	_	
2-2	429-433	many	_	
2-3	434-444	investment	_	
2-4	445-455	portfolios	_	
2-5	456-461	would	_	
2-6	462-464	be	_	
2-7	465-475	threatened	_	
2-8	476-477	?	_	
