#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.NEGATION|Negations
#T_RL=webanno.custom.XNEGATION|BT_webanno.custom.NEGATION


#Text=Professor Burton mistakenly stated the tribunal in The Hague is UN-backed, it is not.
1-1	0-9	Professor	_	_	
1-2	10-16	Burton	_	_	
1-3	17-27	mistakenly	_	_	
1-4	28-34	stated	_	_	
1-5	35-38	the	_	_	
1-6	39-47	tribunal	_	_	
1-7	48-50	in	_	_	
1-8	51-54	The	_	_	
1-9	55-60	Hague	_	_	
1-10	61-63	is	_	_	
1-11	64-73	UN-backed	XSCOPE[1]|FOCUS[2]	1-15[0_1]	
1-12	73-74	,	_	_	
1-13	75-77	it	_	_	
1-14	78-80	is	_	_	
1-15	81-84	not	NEG	_	
1-16	84-85	.	_	_	

#Text=The Permanent Court of Arbitration (or the tribunal) bears no relationship with UN.
2-1	87-90	The	_	_	
2-2	91-100	Permanent	_	_	
2-3	101-106	Court	_	_	
2-4	107-109	of	_	_	
2-5	110-121	Arbitration	_	_	
2-6	122-123	(	_	_	
2-7	123-125	or	_	_	
2-8	126-129	the	_	_	
2-9	130-138	tribunal	_	_	
2-10	138-139	)	_	_	
2-11	140-145	bears	_	_	
2-12	146-148	no	NEG	_	
2-13	149-161	relationship	SCOPE[5]	_	
2-14	162-166	with	SCOPE[5]	_	
2-15	167-169	UN	SCOPE[5]|FOCUS[6]	_	
2-16	169-170	.	_	_	

#Text=The PCA is not the International Court of Justice (the PCA is not a court in the traditional sense; it is only a special tribunal).
3-1	172-175	The	_	_	
3-2	176-179	PCA	_	_	
3-3	180-182	is	_	_	
3-4	183-186	not	NEG	_	
3-5	187-190	the	SCOPE[8]|FOCUS[9]	_	
3-6	191-204	International	SCOPE[8]|FOCUS[9]	_	
3-7	205-210	Court	SCOPE[8]|FOCUS[9]	_	
3-8	211-213	of	SCOPE[8]|FOCUS[9]	_	
3-9	214-221	Justice	SCOPE[8]|FOCUS[9]	_	
3-10	222-223	(	_	_	
3-11	223-226	the	_	_	
3-12	227-230	PCA	_	_	
3-13	231-233	is	_	_	
3-14	234-237	not	NEG	_	
3-15	238-239	a	SCOPE[11]	_	
3-16	240-245	court	SCOPE[11]	_	
3-17	246-248	in	SCOPE[11]	_	
3-18	249-252	the	SCOPE[11]|FOCUS[12]	_	
3-19	253-264	traditional	SCOPE[11]|FOCUS[12]	_	
3-20	265-270	sense	SCOPE[11]|FOCUS[12]	_	
3-21	270-271	;	_	_	
3-22	272-274	it	_	_	
3-23	275-277	is	_	_	
3-24	278-282	only	_	_	
3-25	283-284	a	_	_	
3-26	285-292	special	_	_	
3-27	293-301	tribunal	_	_	
3-28	301-302	)	_	_	
3-29	302-303	.	_	_	

#Text=The ICJ is the judicial organ of the United Nations.A lot of people thought the PCA is the same as the ICJ.
4-1	305-308	The	_	_	
4-2	309-312	ICJ	_	_	
4-3	313-315	is	_	_	
4-4	316-319	the	_	_	
4-5	320-328	judicial	_	_	
4-6	329-334	organ	_	_	
4-7	335-337	of	_	_	
4-8	338-341	the	_	_	
4-9	342-348	United	_	_	
4-10	349-358	Nations.A	_	_	
4-11	359-362	lot	_	_	
4-12	363-365	of	_	_	
4-13	366-372	people	_	_	
4-14	373-380	thought	_	_	
4-15	381-384	the	_	_	
4-16	385-388	PCA	_	_	
