#FORMAT=WebAnno TSV 3.1


#Text=The NDP want kids in a unionized environment from birth to the end of university.
1-1	0-3	The	
1-2	4-7	NDP	
1-3	8-12	want	
1-4	13-17	kids	
1-5	18-20	in	
1-6	21-22	a	
1-7	23-32	unionized	
1-8	33-44	environment	
1-9	45-49	from	
1-10	50-55	birth	
1-11	56-58	to	
1-12	59-62	the	
1-13	63-66	end	
1-14	67-69	of	
1-15	70-80	university	
1-16	80-81	.	

#Text=And then ideally as voters they will support the NDP's socialist agenda.
2-1	82-85	And	
2-2	86-90	then	
2-3	91-98	ideally	
2-4	99-101	as	
2-5	102-108	voters	
2-6	109-113	they	
2-7	114-118	will	
2-8	119-126	support	
2-9	127-130	the	
2-10	131-136	NDP's	
2-11	137-146	socialist	
2-12	147-153	agenda	
2-13	153-154	.	

#Text=What could go wrong?
3-1	155-159	What	
3-2	160-165	could	
3-3	166-168	go	
3-4	169-174	wrong	
3-5	174-175	?	
