#FORMAT=WebAnno TSV 3.1


#Text=And with hindsight being what it is, lets just hope Jasmine Cormier and those like her will take their fingers out of their ears and review the Mansbridge interview.
1-1	0-3	And	
1-2	4-8	with	
1-3	9-18	hindsight	
1-4	19-24	being	
1-5	25-29	what	
1-6	30-32	it	
1-7	33-35	is	
1-8	35-36	,	
1-9	37-41	lets	
1-10	42-46	just	
1-11	47-51	hope	
1-12	52-59	Jasmine	
1-13	60-67	Cormier	
1-14	68-71	and	
1-15	72-77	those	
1-16	78-82	like	
1-17	83-86	her	
1-18	87-91	will	
1-19	92-96	take	
1-20	97-102	their	
1-21	103-110	fingers	
1-22	111-114	out	
1-23	115-117	of	
1-24	118-123	their	
1-25	124-128	ears	
1-26	129-132	and	
1-27	133-139	review	
1-28	140-143	the	
1-29	144-154	Mansbridge	
1-30	155-164	interview	
1-31	164-165	.	

#Text=The state of academic discourse in Canadian universities is a disgrace and if Henein is silenced on these campuses, it is shameful.
2-1	166-169	The	
2-2	170-175	state	
2-3	176-178	of	
2-4	179-187	academic	
2-5	188-197	discourse	
2-6	198-200	in	
2-7	201-209	Canadian	
2-8	210-222	universities	
2-9	223-225	is	
2-10	226-227	a	
2-11	228-236	disgrace	
2-12	237-240	and	
2-13	241-243	if	
2-14	244-250	Henein	
2-15	251-253	is	
2-16	254-262	silenced	
2-17	263-265	on	
2-18	266-271	these	
2-19	272-280	campuses	
2-20	280-281	,	
2-21	282-284	it	
2-22	285-287	is	
2-23	288-296	shameful	
2-24	296-297	.	
