#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.NEGATION|Negations
#T_RL=webanno.custom.XNEGATION|BT_webanno.custom.NEGATION


#Text=Here are some other reasons why she may have lost:1.
1-1	0-4	Here	_	_	
1-2	5-8	are	_	_	
1-3	9-13	some	_	_	
1-4	14-19	other	_	_	
1-5	20-27	reasons	_	_	
1-6	28-31	why	_	_	
1-7	32-35	she	_	_	
1-8	36-39	may	_	_	
1-9	40-44	have	_	_	
1-10	45-49	lost	_	_	
1-11	49-50	:	_	_	
1-12	50-51	1	_	_	
1-13	51-52	.	_	_	

#Text=Refused to have press conferences 2.
2-1	53-60	Refused	_	_	
2-2	61-63	to	_	_	
2-3	64-68	have	_	_	
2-4	69-74	press	_	_	
2-5	75-86	conferences	_	_	
2-6	87-88	2	_	_	
2-7	88-89	.	_	_	

#Text=Played tricks to win the nomination in the first place (Sanders should have won)3.
3-1	90-96	Played	_	_	
3-2	97-103	tricks	_	_	
3-3	104-106	to	_	_	
3-4	107-110	win	_	_	
3-5	111-114	the	_	_	
3-6	115-125	nomination	_	_	
3-7	126-128	in	_	_	
3-8	129-132	the	_	_	
3-9	133-138	first	_	_	
3-10	139-144	place	_	_	
3-11	145-146	(	_	_	
3-12	146-153	Sanders	_	_	
3-13	154-160	should	_	_	
3-14	161-165	have	_	_	
3-15	166-169	won	_	_	
3-16	169-170	)	_	_	
3-17	170-171	3	_	_	
3-18	171-172	.	_	_	

#Text=Focused on gender (it's about a vision)4.
4-1	173-180	Focused	_	_	
4-2	181-183	on	_	_	
4-3	184-190	gender	_	_	
4-4	191-192	(	_	_	
4-5	192-196	it's	_	_	
4-6	197-202	about	_	_	
4-7	203-204	a	_	_	
4-8	205-211	vision	_	_	
4-9	211-212	)	_	_	
4-10	212-213	4	_	_	
4-11	213-214	.	_	_	

#Text=People are tired of the old guard (has it worked for them?)
5-1	215-221	People	_	_	
5-2	222-225	are	_	_	
5-3	226-231	tired	_	_	
5-4	232-234	of	_	_	
5-5	235-238	the	_	_	
5-6	239-242	old	_	_	
5-7	243-248	guard	_	_	
5-8	249-250	(	_	_	
5-9	250-253	has	_	_	
5-10	254-256	it	_	_	
5-11	257-263	worked	_	_	
5-12	264-267	for	_	_	
5-13	268-272	them	_	_	
5-14	272-273	?	_	_	
5-15	273-274	)	_	_	

#Text=5.
6-1	274-275	5	_	_	
6-2	275-276	.	_	_	

#Text=No real message: Working together to build a stronger America, same old same old6.
7-1	277-279	No	NEG	_	
7-2	280-284	real	SCOPE[2]|FOCUS[3]	_	
7-3	285-292	message	SCOPE[2]	_	
7-4	292-293	:	_	_	
7-5	294-301	Working	_	_	
7-6	302-310	together	_	_	
7-7	311-313	to	_	_	
7-8	314-319	build	_	_	
7-9	320-321	a	_	_	
7-10	322-330	stronger	_	_	
7-11	331-338	America	_	_	
7-12	338-339	,	_	_	
7-13	340-344	same	_	_	
7-14	345-348	old	_	_	
7-15	349-353	same	_	_	
7-16	354-358	old6	_	_	
7-17	358-359	.	_	_	

#Text=Pretending that everything is just fine for everyone, when it clearly isn't7.
8-1	360-370	Pretending	_	_	
8-2	371-375	that	_	_	
8-3	376-386	everything	_	_	
8-4	387-389	is	_	_	
8-5	390-394	just	XSCOPE[4]	8-13[0_4]	
8-6	395-399	fine	XSCOPE[4]	_	
8-7	400-403	for	XSCOPE[4]	_	
8-8	404-412	everyone	XSCOPE[4]|FOCUS[5]	_	
8-9	412-413	,	_	_	
8-10	414-418	when	_	_	
8-11	419-421	it	_	_	
8-12	422-429	clearly	_	_	
8-13	430-436	isn't7	NEG	_	
8-14	436-437	.	_	_	

#Text=Wall st. insiderTrump, like Rob Ford, simply said that things are broken, which they are!
9-1	438-442	Wall	_	_	
9-2	443-445	st	_	_	
9-3	445-446	.	_	_	
9-4	447-459	insiderTrump	_	_	
9-5	459-460	,	_	_	
9-6	461-465	like	_	_	
9-7	466-469	Rob	_	_	
9-8	470-474	Ford	_	_	
9-9	474-475	,	_	_	
9-10	476-482	simply	_	_	
9-11	483-487	said	_	_	
9-12	488-492	that	_	_	
9-13	493-499	things	_	_	
9-14	500-503	are	_	_	
9-15	504-510	broken	_	_	
9-16	510-511	,	_	_	
9-17	512-517	which	_	_	
9-18	518-522	they	_	_	
9-19	523-526	are	_	_	
9-20	526-527	!	_	_	

#Text=You can't live in the US on minimum wage, these are the jobs that are left!
10-1	529-532	You	_	_	
10-2	533-538	can't	NEG	_	
10-3	539-543	live	SCOPE[8]	_	
10-4	544-546	in	SCOPE[8]	_	
10-5	547-550	the	SCOPE[8]	_	
10-6	551-553	US	SCOPE[8]	_	
10-7	554-556	on	SCOPE[8]	_	
