#FORMAT=WebAnno TSV 3.1


#Text=There is an unethical aspect to the BC Gov 15% tax on foreigners buying our properties.We increasingly hear the more expensive properties in BC may be bought with criminal money; profits from crime and money stolen in China and other countries.So does that make the BC Gov a partner in hiding criminal money?
1-1	0-5	There	
1-2	6-8	is	
1-3	9-11	an	
1-4	12-21	unethical	
1-5	22-28	aspect	
1-6	29-31	to	
1-7	32-35	the	
1-8	36-38	BC	
1-9	39-42	Gov	
1-10	43-46	15%	
1-11	47-50	tax	
1-12	51-53	on	
1-13	54-64	foreigners	
1-14	65-71	buying	
1-15	72-75	our	
1-16	76-89	properties.We	
1-17	90-102	increasingly	
1-18	103-107	hear	
1-19	108-111	the	
1-20	112-116	more	
1-21	117-126	expensive	
1-22	127-137	properties	
1-23	138-140	in	
1-24	141-143	BC	
1-25	144-147	may	
1-26	148-150	be	
1-27	151-157	bought	
1-28	158-162	with	
1-29	163-171	criminal	
1-30	172-177	money	
1-31	177-178	;	
1-32	179-186	profits	
1-33	187-191	from	
1-34	192-197	crime	
1-35	198-201	and	
1-36	202-207	money	
1-37	208-214	stolen	
1-38	215-217	in	
1-39	218-223	China	
1-40	224-227	and	
1-41	228-233	other	
1-42	234-246	countries.So	
1-43	247-251	does	
1-44	252-256	that	
1-45	257-261	make	
1-46	262-265	the	
1-47	266-268	BC	
1-48	269-272	Gov	
1-49	273-274	a	
1-50	275-282	partner	
1-51	283-285	in	
1-52	286-292	hiding	
1-53	293-301	criminal	
1-54	302-307	money	
1-55	307-308	?	
