#FORMAT=WebAnno TSV 3.1


#Text=This is an associate professor, Department of History, University of British Columbia.how can he be so dumb to relate this action to anything other than stopping non CANADIAN CITIZENS using our economy as a cheap bank.If we were smart we would extend this approach to any capital ins or outs unless it benifited us as a nation.
1-1	0-4	This	
1-2	5-7	is	
1-3	8-10	an	
1-4	11-20	associate	
1-5	21-30	professor	
1-6	30-31	,	
1-7	32-42	Department	
1-8	43-45	of	
1-9	46-53	History	
1-10	53-54	,	
1-11	55-65	University	
1-12	66-68	of	
1-13	69-76	British	
1-14	77-89	Columbia.how	
1-15	90-93	can	
1-16	94-96	he	
1-17	97-99	be	
1-18	100-102	so	
1-19	103-107	dumb	
1-20	108-110	to	
1-21	111-117	relate	
1-22	118-122	this	
1-23	123-129	action	
1-24	130-132	to	
1-25	133-141	anything	
1-26	142-147	other	
1-27	148-152	than	
1-28	153-161	stopping	
1-29	162-165	non	
1-30	166-174	CANADIAN	
1-31	175-183	CITIZENS	
1-32	184-189	using	
1-33	190-193	our	
1-34	194-201	economy	
1-35	202-204	as	
1-36	205-206	a	
1-37	207-212	cheap	
1-38	213-220	bank.If	
1-39	221-223	we	
1-40	224-228	were	
1-41	229-234	smart	
1-42	235-237	we	
1-43	238-243	would	
1-44	244-250	extend	
1-45	251-255	this	
1-46	256-264	approach	
1-47	265-267	to	
1-48	268-271	any	
1-49	272-279	capital	
1-50	280-283	ins	
1-51	284-286	or	
1-52	287-291	outs	
1-53	292-298	unless	
1-54	299-301	it	
1-55	302-311	benifited	
1-56	312-314	us	
1-57	315-317	as	
1-58	318-319	a	
1-59	320-326	nation	
1-60	326-327	.	
