#FORMAT=WebAnno TSV 3.1


#Text=Canada is as much to blame for giving false hope and promises?
1-1	0-6	Canada	
1-2	7-9	is	
1-3	10-12	as	
1-4	13-17	much	
1-5	18-20	to	
1-6	21-26	blame	
1-7	27-30	for	
1-8	31-37	giving	
1-9	38-43	false	
1-10	44-48	hope	
1-11	49-52	and	
1-12	53-61	promises	
1-13	61-62	?	

#Text=Really?
2-1	63-69	Really	
2-2	69-70	?	

#Text=Are any of the ones that we've taken in worse off here than where they were?
3-1	71-74	Are	
3-2	75-78	any	
3-3	79-81	of	
3-4	82-85	the	
3-5	86-90	ones	
3-6	91-95	that	
3-7	96-101	we've	
3-8	102-107	taken	
3-9	108-110	in	
3-10	111-116	worse	
3-11	117-120	off	
3-12	121-125	here	
3-13	126-130	than	
3-14	131-136	where	
3-15	137-141	they	
3-16	142-146	were	
3-17	146-147	?	
