#FORMAT=WebAnno TSV 3.1


#Text=Look at what is happening in Sweden, Germany and the rest of Europe.
1-1	0-4	Look	
1-2	5-7	at	
1-3	8-12	what	
1-4	13-15	is	
1-5	16-25	happening	
1-6	26-28	in	
1-7	29-35	Sweden	
1-8	35-36	,	
1-9	37-44	Germany	
1-10	45-48	and	
1-11	49-52	the	
1-12	53-57	rest	
1-13	58-60	of	
1-14	61-67	Europe	
1-15	67-68	.	

#Text=Who in their right mind thinks that is a good thing and wants to bring that to Canada?
2-1	69-72	Who	
2-2	73-75	in	
2-3	76-81	their	
2-4	82-87	right	
2-5	88-92	mind	
2-6	93-99	thinks	
2-7	100-104	that	
2-8	105-107	is	
2-9	108-109	a	
2-10	110-114	good	
2-11	115-120	thing	
2-12	121-124	and	
2-13	125-130	wants	
2-14	131-133	to	
2-15	134-139	bring	
2-16	140-144	that	
2-17	145-147	to	
2-18	148-154	Canada	
2-19	154-155	?	
