#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.NEGATION|Negations
#T_RL=webanno.custom.XNEGATION|BT_webanno.custom.NEGATION


#Text=What a bunch of whiny academic rubbish.
1-1	0-4	What	_	_	
1-2	5-6	a	_	_	
1-3	7-12	bunch	_	_	
1-4	13-15	of	_	_	
1-5	16-21	whiny	_	_	
1-6	22-30	academic	_	_	
1-7	31-38	rubbish	_	_	
1-8	38-39	.	_	_	

#Text=Germany takes in how many, puts up with sexual assaults in Cologne and Europe is still failing them?
2-1	40-47	Germany	_	_	
2-2	48-53	takes	_	_	
2-3	54-56	in	_	_	
2-4	57-60	how	_	_	
2-5	61-65	many	_	_	
2-6	65-66	,	_	_	
2-7	67-71	puts	_	_	
2-8	72-74	up	_	_	
2-9	75-79	with	_	_	
2-10	80-86	sexual	_	_	
2-11	87-95	assaults	_	_	
2-12	96-98	in	_	_	
2-13	99-106	Cologne	_	_	
2-14	107-110	and	_	_	
2-15	111-117	Europe	_	_	
2-16	118-120	is	_	_	
2-17	121-126	still	_	_	
2-18	127-134	failing	_	_	
2-19	135-139	them	_	_	
2-20	139-140	?	_	_	

#Text=Rubbish.War refugees have turned in to economic and social opportunism.
3-1	141-152	Rubbish.War	_	_	
3-2	153-161	refugees	_	_	
3-3	162-166	have	_	_	
3-4	167-173	turned	_	_	
3-5	174-176	in	_	_	
3-6	177-179	to	_	_	
3-7	180-188	economic	_	_	
3-8	189-192	and	_	_	
3-9	193-199	social	_	_	
3-10	200-211	opportunism	_	_	
3-11	211-212	.	_	_	

#Text=Landing on Greece's shores to get out of the war zone is not so why is Sweden the desired end point?
4-1	213-220	Landing	_	_	
4-2	221-223	on	_	_	
4-3	224-232	Greece's	_	_	
4-4	233-239	shores	_	_	
4-5	240-242	to	_	_	
4-6	243-246	get	_	_	
4-7	247-250	out	_	_	
4-8	251-253	of	_	_	
4-9	254-257	the	_	_	
4-10	258-261	war	_	_	
4-11	262-266	zone	_	_	
4-12	267-269	is	_	_	
4-13	270-273	not	NEG	_	
4-14	274-276	so	_	_	
4-15	277-280	why	_	_	
4-16	281-283	is	_	_	
4-17	284-290	Sweden	_	_	
4-18	291-294	the	XSCOPE[2]	4-13[0_2]	
4-19	295-302	desired	XSCOPE[2]|FOCUS[3]	_	
4-20	303-306	end	XSCOPE[2]	_	
4-21	307-312	point	XSCOPE[2]	_	
4-22	312-313	?	_	_	
