#FORMAT=WebAnno TSV 3.1


#Text=\"Canada's cartels have been essential to its historical STABILITY and prosperity.\" demonstrates how ignorant they are of economic principles lolol
1-1	0-1	"	
1-2	1-9	Canada's	
1-3	10-17	cartels	
1-4	18-22	have	
1-5	23-27	been	
1-6	28-37	essential	
1-7	38-40	to	
1-8	41-44	its	
1-9	45-55	historical	
1-10	56-65	STABILITY	
1-11	66-69	and	
1-12	70-80	prosperity	
1-13	80-81	.	
1-14	81-82	"	
1-15	83-95	demonstrates	
1-16	96-99	how	
1-17	100-108	ignorant	
1-18	109-113	they	
1-19	114-117	are	
1-20	118-120	of	
1-21	121-129	economic	
1-22	130-140	principles	
1-23	141-146	lolol	
