#FORMAT=WebAnno TSV 3.1


#Text=While the cartels limit competition within our borders, the extra dough they make here, makes it easier for them to sell their services at an even lower price outside our borders.
1-1	0-5	While	
1-2	6-9	the	
1-3	10-17	cartels	
1-4	18-23	limit	
1-5	24-35	competition	
1-6	36-42	within	
1-7	43-46	our	
1-8	47-54	borders	
1-9	54-55	,	
1-10	56-59	the	
1-11	60-65	extra	
1-12	66-71	dough	
1-13	72-76	they	
1-14	77-81	make	
1-15	82-86	here	
1-16	86-87	,	
1-17	88-93	makes	
1-18	94-96	it	
1-19	97-103	easier	
1-20	104-107	for	
1-21	108-112	them	
1-22	113-115	to	
1-23	116-120	sell	
1-24	121-126	their	
1-25	127-135	services	
1-26	136-138	at	
1-27	139-141	an	
1-28	142-146	even	
1-29	147-152	lower	
1-30	153-158	price	
1-31	159-166	outside	
1-32	167-170	our	
1-33	171-178	borders	
1-34	178-179	.	

#Text=The companies within our oligopolies are quite successful abroad.
2-1	180-183	The	
2-2	184-193	companies	
2-3	194-200	within	
2-4	201-204	our	
2-5	205-216	oligopolies	
2-6	217-220	are	
2-7	221-226	quite	
2-8	227-237	successful	
2-9	238-244	abroad	
2-10	244-245	.	

#Text=On the back of over paying Canadians to boot.
3-1	246-248	On	
3-2	249-252	the	
3-3	253-257	back	
3-4	258-260	of	
3-5	261-265	over	
3-6	266-272	paying	
3-7	273-282	Canadians	
3-8	283-285	to	
3-9	286-290	boot	
3-10	290-291	.	
