#FORMAT=WebAnno TSV 3.1


#Text=But these same folks support the other cartel in the making *cough *cough.....Cap and Trade.
1-1	0-3	But	
1-2	4-9	these	
1-3	10-14	same	
1-4	15-20	folks	
1-5	21-28	support	
1-6	29-32	the	
1-7	33-38	other	
1-8	39-45	cartel	
1-9	46-48	in	
1-10	49-52	the	
1-11	53-59	making	
1-12	60-61	*	
1-13	61-66	cough	
1-14	67-68	*	
1-15	68-73	cough	
1-16	73-74	.	
1-17	74-75	.	
1-18	75-76	.	
1-19	76-77	.	
1-20	77-78	.	
1-21	78-81	Cap	
1-22	82-85	and	
1-23	86-91	Trade	
1-24	91-92	.	
