#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.NEGATION|Negations
#T_RL=webanno.custom.XNEGATION|BT_webanno.custom.NEGATION


#Text=Everyone wants that but where is the expense  part?
1-1	0-8	Everyone	_	_	
1-2	9-14	wants	_	_	
1-3	15-19	that	_	_	
1-4	20-23	but	_	_	
1-5	24-29	where	_	_	
1-6	30-32	is	_	_	
1-7	33-36	the	_	_	
1-8	37-44	expense	_	_	
1-9	46-50	part	_	_	
1-10	50-51	?	_	_	

#Text=The UBER organization covers all of that while your standard taxi does not.
2-1	52-55	The	_	_	
2-2	56-60	UBER	_	_	
2-3	61-73	organization	_	_	
2-4	74-80	covers	XSCOPE[1]	2-13[0_1]	
2-5	81-84	all	XSCOPE[1]|FOCUS[2]	_	
2-6	85-87	of	XSCOPE[1]	_	
2-7	88-92	that	XSCOPE[1]	_	
2-8	93-98	while	_	_	
2-9	99-103	your	_	_	
2-10	104-112	standard	_	_	
2-11	113-117	taxi	_	_	
2-12	118-122	does	_	_	
2-13	123-126	not	NEG	_	
2-14	126-127	.	_	_	

#Text=This is simply a level of care, like having a clean car!
3-1	128-132	This	_	_	
3-2	133-135	is	_	_	
3-3	136-142	simply	_	_	
3-4	143-144	a	_	_	
3-5	145-150	level	_	_	
3-6	151-153	of	_	_	
3-7	154-158	care	_	_	
3-8	158-159	,	_	_	
3-9	160-164	like	_	_	
3-10	165-171	having	_	_	
3-11	172-173	a	_	_	
3-12	174-179	clean	_	_	
3-13	180-183	car	_	_	
3-14	183-184	!	_	_	
