#FORMAT=WebAnno TSV 3.1


#Text=I've got a special bottle put away for the day when the Canadian banking cartel gets it butt waxed by Internet competition.
1-1	0-4	I've	
1-2	5-8	got	
1-3	9-10	a	
1-4	11-18	special	
1-5	19-25	bottle	
1-6	26-29	put	
1-7	30-34	away	
1-8	35-38	for	
1-9	39-42	the	
1-10	43-46	day	
1-11	47-51	when	
1-12	52-55	the	
1-13	56-64	Canadian	
1-14	65-72	banking	
1-15	73-79	cartel	
1-16	80-84	gets	
1-17	85-87	it	
1-18	88-92	butt	
1-19	93-98	waxed	
1-20	99-101	by	
1-21	102-110	Internet	
1-22	111-122	competition	
1-23	122-123	.	

#Text=Greedy, price gouging, fee mongering jerks will all have their day of reckoning.
2-1	124-130	Greedy	
2-2	130-131	,	
2-3	132-137	price	
2-4	138-145	gouging	
2-5	145-146	,	
2-6	147-150	fee	
2-7	151-160	mongering	
2-8	161-166	jerks	
2-9	167-171	will	
2-10	172-175	all	
2-11	176-180	have	
2-12	181-186	their	
2-13	187-190	day	
2-14	191-193	of	
2-15	194-203	reckoning	
2-16	203-204	.	
