#FORMAT=WebAnno TSV 3.1


#Text=In Ottawa, the stupid, camera loving mayor has asked the police force to use the Highway Traffic Act to catch the drivers.Of course like everything else, Ottawa is steeped in the 19th century and the mayor fits the image.
1-1	0-2	In	
1-2	3-9	Ottawa	
1-3	9-10	,	
1-4	11-14	the	
1-5	15-21	stupid	
1-6	21-22	,	
1-7	23-29	camera	
1-8	30-36	loving	
1-9	37-42	mayor	
1-10	43-46	has	
1-11	47-52	asked	
1-12	53-56	the	
1-13	57-63	police	
1-14	64-69	force	
1-15	70-72	to	
1-16	73-76	use	
1-17	77-80	the	
1-18	81-88	Highway	
1-19	89-96	Traffic	
1-20	97-100	Act	
1-21	101-103	to	
1-22	104-109	catch	
1-23	110-113	the	
1-24	114-124	drivers.Of	
1-25	125-131	course	
1-26	132-136	like	
1-27	137-147	everything	
1-28	148-152	else	
1-29	152-153	,	
1-30	154-160	Ottawa	
1-31	161-163	is	
1-32	164-171	steeped	
1-33	172-174	in	
1-34	175-178	the	
1-35	179-183	19th	
1-36	184-191	century	
1-37	192-195	and	
1-38	196-199	the	
1-39	200-205	mayor	
1-40	206-210	fits	
1-41	211-214	the	
1-42	215-220	image	
1-43	220-221	.	
