#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.NEGATION|Negations


#Text=Lost,,, I'm amazed,,, at how lost the public are, about Uber,,, they have been driving our streets for almost 4 years without insurance, LOL, and now lets bring them into the pool so everyone in the province will be paying it for them,,, And we are cheering on the G&M for this nonsense,
1-1	0-4	Lost	_	
1-2	4-5	,	_	
1-3	5-6	,	_	
1-4	6-7	,	_	
1-5	8-11	I'm	_	
1-6	12-18	amazed	_	
1-7	18-19	,	_	
1-8	19-20	,	_	
1-9	20-21	,	_	
1-10	22-24	at	_	
1-11	25-28	how	_	
1-12	29-33	lost	_	
1-13	34-37	the	_	
1-14	38-44	public	_	
1-15	45-48	are	_	
1-16	48-49	,	_	
1-17	50-55	about	_	
1-18	56-60	Uber	_	
1-19	60-61	,	_	
1-20	61-62	,	_	
1-21	62-63	,	_	
1-22	64-68	they	_	
1-23	69-73	have	_	
1-24	74-78	been	_	
1-25	79-86	driving	_	
1-26	87-90	our	_	
1-27	91-98	streets	_	
1-28	99-102	for	_	
1-29	103-109	almost	_	
1-30	110-111	4	_	
1-31	112-117	years	_	
1-32	118-125	without	NEG	
1-33	126-135	insurance	SCOPE[2]|FOCUS[3]	
1-34	135-136	,	_	
1-35	137-140	LOL	_	
1-36	140-141	,	_	
1-37	142-145	and	_	
1-38	146-149	now	_	
1-39	150-154	lets	_	
1-40	155-160	bring	_	
1-41	161-165	them	_	
1-42	166-170	into	_	
1-43	171-174	the	_	
1-44	175-179	pool	_	
1-45	180-182	so	_	
1-46	183-191	everyone	_	
1-47	192-194	in	_	
1-48	195-198	the	_	
1-49	199-207	province	_	
1-50	208-212	will	_	
1-51	213-215	be	_	
1-52	216-222	paying	_	
1-53	223-225	it	_	
1-54	226-229	for	_	
1-55	230-234	them	_	
1-56	234-235	,	_	
1-57	235-236	,	_	
1-58	236-237	,	_	
1-59	238-241	And	_	
1-60	242-244	we	_	
1-61	245-248	are	_	
1-62	249-257	cheering	_	
1-63	258-260	on	_	
1-64	261-264	the	_	
1-65	265-266	G	_	
1-66	266-267	&	_	
1-67	267-268	M	_	
1-68	269-272	for	_	
1-69	273-277	this	_	
1-70	278-286	nonsense	_	
1-71	286-287	,	_	
