#FORMAT=WebAnno TSV 3.1


#Text=Some people need to create and open source Uber-like app.
1-1	0-4	Some	
1-2	5-11	people	
1-3	12-16	need	
1-4	17-19	to	
1-5	20-26	create	
1-6	27-30	and	
1-7	31-35	open	
1-8	36-42	source	
1-9	43-52	Uber-like	
1-10	53-56	app	
1-11	56-57	.	

#Text=Hopefully it will catch on and we'll see how much the people who run Uber really like the 'sharing' economy.
2-1	58-67	Hopefully	
2-2	68-70	it	
2-3	71-75	will	
2-4	76-81	catch	
2-5	82-84	on	
2-6	85-88	and	
2-7	89-94	we'll	
2-8	95-98	see	
2-9	99-102	how	
2-10	103-107	much	
2-11	108-111	the	
2-12	112-118	people	
2-13	119-122	who	
2-14	123-126	run	
2-15	127-131	Uber	
2-16	132-138	really	
2-17	139-143	like	
2-18	144-147	the	
2-19	148-149	'	
2-20	149-156	sharing	
2-21	156-157	'	
2-22	158-165	economy	
2-23	165-166	.	
