#FORMAT=WebAnno TSV 3.1


#Text=Taxi Drivers are losing business because of UBER.
1-1	0-4	Taxi	
1-2	5-12	Drivers	
1-3	13-16	are	
1-4	17-23	losing	
1-5	24-32	business	
1-6	33-40	because	
1-7	41-43	of	
1-8	44-48	UBER	
1-9	48-49	.	

#Text=Well join the club talk to Kodak or Black's photography, Blockbusters, Blackberry, have realized that advance in technology has had an effect on their business.
2-1	50-54	Well	
2-2	55-59	join	
2-3	60-63	the	
2-4	64-68	club	
2-5	69-73	talk	
2-6	74-76	to	
2-7	77-82	Kodak	
2-8	83-85	or	
2-9	86-93	Black's	
2-10	94-105	photography	
2-11	105-106	,	
2-12	107-119	Blockbusters	
2-13	119-120	,	
2-14	121-131	Blackberry	
2-15	131-132	,	
2-16	133-137	have	
2-17	138-146	realized	
2-18	147-151	that	
2-19	152-159	advance	
2-20	160-162	in	
2-21	163-173	technology	
2-22	174-177	has	
2-23	178-181	had	
2-24	182-184	an	
2-25	185-191	effect	
2-26	192-194	on	
2-27	195-200	their	
2-28	201-209	business	
2-29	209-210	.	

#Text=That is the new economy.
3-1	211-215	That	
3-2	216-218	is	
3-3	219-222	the	
3-4	223-226	new	
3-5	227-234	economy	
3-6	234-235	.	

#Text=So sorry for taxi deivers and staff at Blacks but that is the way things roll.
4-1	236-238	So	
4-2	239-244	sorry	
4-3	245-248	for	
4-4	249-253	taxi	
4-5	254-261	deivers	
4-6	262-265	and	
4-7	266-271	staff	
4-8	272-274	at	
4-9	275-281	Blacks	
4-10	282-285	but	
4-11	286-290	that	
4-12	291-293	is	
4-13	294-297	the	
4-14	298-301	way	
4-15	302-308	things	
4-16	309-313	roll	
4-17	313-314	.	
