#FORMAT=WebAnno TSV 3.1


#Text=We need to stop supporting corporations such as Uber that strip money from the local economy and lock it away.
1-1	0-2	We	
1-2	3-7	need	
1-3	8-10	to	
1-4	11-15	stop	
1-5	16-26	supporting	
1-6	27-39	corporations	
1-7	40-44	such	
1-8	45-47	as	
1-9	48-52	Uber	
1-10	53-57	that	
1-11	58-63	strip	
1-12	64-69	money	
1-13	70-74	from	
1-14	75-78	the	
1-15	79-84	local	
1-16	85-92	economy	
1-17	93-96	and	
1-18	97-101	lock	
1-19	102-104	it	
1-20	105-109	away	
1-21	109-110	.	

#Text=Support local business and help your neighbours.
2-1	111-118	Support	
2-2	119-124	local	
2-3	125-133	business	
2-4	134-137	and	
2-5	138-142	help	
2-6	143-147	your	
2-7	148-158	neighbours	
2-8	158-159	.	
