#FORMAT=WebAnno TSV 3.1


#Text=Apple stuff consist of 95% marketing nonsense and 5% substance.
1-1	0-5	Apple	
1-2	6-11	stuff	
1-3	12-19	consist	
1-4	20-22	of	
1-5	23-26	95%	
1-6	27-36	marketing	
1-7	37-45	nonsense	
1-8	46-49	and	
1-9	50-52	5%	
1-10	53-62	substance	
1-11	62-63	.	

#Text=But for the Apple Watch, its 100% hyperbolic nonsense.
2-1	64-67	But	
2-2	68-71	for	
2-3	72-75	the	
2-4	76-81	Apple	
2-5	82-87	Watch	
2-6	87-88	,	
2-7	89-92	its	
2-8	93-97	100%	
2-9	98-108	hyperbolic	
2-10	109-117	nonsense	
2-11	117-118	.	

#Text=Apple knows it and thrive on it.
3-1	119-124	Apple	
3-2	125-130	knows	
3-3	131-133	it	
3-4	134-137	and	
3-5	138-144	thrive	
3-6	145-147	on	
3-7	148-150	it	
3-8	150-151	.	

#Text=It knows it can count of millions of young fools around the world.
4-1	152-154	It	
4-2	155-160	knows	
4-3	161-163	it	
4-4	164-167	can	
4-5	168-173	count	
4-6	174-176	of	
4-7	177-185	millions	
4-8	186-188	of	
4-9	189-194	young	
4-10	195-200	fools	
4-11	201-207	around	
4-12	208-211	the	
4-13	212-217	world	
4-14	217-218	.	
