#FORMAT=WebAnno TSV 3.1


#Text=If it's cassette deck you want, you could just by my 2004 Buick.
1-1	0-2	If	
1-2	3-7	it's	
1-3	8-16	cassette	
1-4	17-21	deck	
1-5	22-25	you	
1-6	26-30	want	
1-7	30-31	,	
1-8	32-35	you	
1-9	36-41	could	
1-10	42-46	just	
1-11	47-49	by	
1-12	50-52	my	
1-13	53-57	2004	
1-14	58-63	Buick	
1-15	63-64	.	

#Text=It's a cassette deck wrapped in by a car.
2-1	66-70	It's	
2-2	71-72	a	
2-3	73-81	cassette	
2-4	82-86	deck	
2-5	87-94	wrapped	
2-6	95-97	in	
2-7	98-100	by	
2-8	101-102	a	
2-9	103-106	car	
2-10	106-107	.	
