#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.NEGATION|Negations


#Text=Love my Classic and it's 800 plus 'albums'.
1-1	0-4	Love	_	
1-2	5-7	my	_	
1-3	8-15	Classic	_	
1-4	16-19	and	_	
1-5	20-24	it's	_	
1-6	25-28	800	_	
1-7	29-33	plus	_	
1-8	34-35	'	_	
1-9	35-41	albums	_	
1-10	41-42	'	_	
1-11	42-43	.	_	

#Text=Don't love the iTunes program.
2-1	44-49	Don't	NEG	
2-2	50-54	love	SCOPE[2]	
2-3	55-58	the	SCOPE[2]|FOCUS[3]	
2-4	59-65	iTunes	SCOPE[2]|FOCUS[3]	
2-5	66-73	program	SCOPE[2]|FOCUS[3]	
2-6	73-74	.	_	
