metaphor,source_frame,target_frame
A SEQUENCE OF ACTIONS IS A SEQUENCE OF MOVEMENTS,Motion along a path,Action
A SEQUENCE OF VIOLENT EVENTS IS A FLUID,Fluid motion,Violence
ABILITY TO ACT IS ABILITY TO MOVE,Self propelled motion,Ability to act
ABILITY TO EVALUATE GOVERNMENT IS ABILITY TO SEE,Seeing,Citizen evaluation of government
ABILITY TO EVALUATE IS ABILITY TO SEE,Seeing,Evaluation
ABILITY TO KNOW IS ABILITY TO SEE,Seeing,Knowing
ABUSIVE POLITICAL LEADERS ARE PHYSICAL BULLIES,Bully,State leadership
ACCEPTING IS SWALLOWING,Eating,Accepting
ACCESS TO EDUCATION IS A HORSERACE,Race,Education
ACCESS TO EDUCATION IS ACCESS TO AN OBJECT,Access to an object,Access to education
ACCESS TO KNOWLEDGE IS ACCESS TO AN OBJECT,Access to an object,Access to knowledge
ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT,Gain possession,Purposeful action
ACHIEVING A PURPOSE IS GETTING SOMETHING TO EAT,Eating,Purposeful action
ACHIEVING A PURPOSE IS REACHING A DESTINATION,Motion to a location,Purposeful action
ACHIEVING GUN RIGHTS IS REACHING A DESTINATION,Motion to a location,Gun rights
ACHIEVING POWER IS MOVING UPWARDS,Upward motion,Power
ACQUIRING IDEAS IS EATING,Eating,Thinking about
ACQUIRING RESOURCE IS CONSUMING FOOD,Eating,Resource consumption
ACTION IS BEING IN A LOCATION,Being at a location,Action
ACTION IS MOTION,Motion,Action
ACTION IS MOTION ALONG A PATH,Motion along a path,Action
ACTION IS SELF-PROPELLED MOTION ALONG A PATH,Self propelled motion,Action
ACTIVATING IS AWAKENING,Awakening,Activating
ACTIVITIES ARE BOUNDED REGIONS IN SPACE,Bounded region,Activity
ACTIVITIES ARE JOURNEYS,Journey,Activity
ADDRESSING CRIME IS CONTROLLING AN ANIMAL,Animal,Crime
ADDRESSING ECONOMIC PROBLEMS IS TREATING AN ILLNESS,Treating a physical affliction,Addressing social problems
ADDRESSING GUN VIOLENCE IS WAGING WAR,War,Injurious gun use
ADDRESSING INSTITUTIONAL PROBLEMS IS TREATING AN ILLNESS,,
ADDRESSING POVERTY IS TREATING AN ILLNESS,Treating a physical affliction,Addressing poverty
ADDRESSING POVERTY IS WAGING WAR,Physical combat,Addressing poverty
ADDRESSING SOCIAL PROBLEMS IS TREATING A PHYSICAL AFFLICTION,Treating a physical affliction,Addressing social problems
ADDRESSING SOCIAL PROBLEMS IS TREATING AN ILLNESS,Treating a physical affliction,Addressing social problems
ADDRESSING SOCIAL PROBLEMS IS WAGING WAR,War,Addressing social problems
ADVOCACY IS PHYSICAL COMBAT,Physical combat,Advocacy
ADVOCACY IS PHYSICAL HARM,,
ADVOCATING GUN CONTROL IS INSANITY,Insanity,Gun control
ADVOCATING GUN CONTROL IS ZEALOTRY,Zealotry,Gun control
AFFECTION IS WARMTH,Warmth,Affectionate action
AGREEMENT IS PHYSICAL INTEGRITY,physical integrity,agreement
AGREEMENT IS PHYSICAL PROXIMITY,Proximity,Agreement
AID TO KNOWING IS A LIGHT SOURCE,Seeing,Knowing
AIDS TO ACHIEVING A PURPOSE ARE AIDS TO REACHING A DESTINATION,Aids to motion,Aids to action
AIDS TO ACHIEVING A PURPOSE ARE TICKETS TO A DESTINATION,Ticket,Aids to action
AIDS TO IMPROVING ECONOMIC STATUS ARE TICKETS TO A DESTINATION,Ticket,Aids to action
AIDS TO IMPROVING ECONOMIC STATUS IS AID TO UPWARD MOTION,Aid to upward motion,Improving economic status
AIDS TO USING EDUCATIONAL OPPORTUNITIES ARE AIDS TO ACCESSING LOCATIONS ALONG A PATH,Clear paths to accessing a location,Educational opportunities
ALLIANCES ARE FRIENDSHIPS,Friendship,Alliances
ALTERNATIVE LEGISLATION IS ALTERNATIVE PATH,Motion along a path,Legislation enactment
ALTERNATIVE UNDERSTANDINGS OF AN EVENT ARE SIDES OF AN OBJECT,,
ALTERNATIVES ARE DIFFERENT AVAILABLE PATHS,Source path goal,Decision making
