"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
22,"5","2024-10-16T17:10:23.053843Z",1,"[{""start"":6,""end"":13,""text"":""problem"",""labels"":[""NOT METAPHOR""]},{""start"":17,""end"":23,""text"":""bigger"",""labels"":[""NOT METAPHOR""]},{""start"":29,""end"":38,""text"":""Mr. Trump"",""labels"":[""NOT METAPHOR""]},{""start"":40,""end"":49,""text"":""Extending"",""labels"":[""NOT METAPHOR""]},{""start"":57,""end"":59,""text"":""up"",""labels"":[""NOT METAPHOR""]},{""start"":69,""end"":74,""text"":""ranks"",""labels"":[""NOT METAPHOR""]},{""start"":78,""end"":87,""text"":""well-paid"",""labels"":[""NOT METAPHOR""]},{""start"":88,""end"":95,""text"":""lawyers"",""labels"":[""NOT METAPHOR""]},{""start"":102,""end"":110,""text"":""services"",""labels"":[""NOT METAPHOR""]},{""start"":119,""end"":129,""text"":""affordable"",""labels"":[""NOT METAPHOR""]},{""start"":135,""end"":143,""text"":""majority"",""labels"":[""NOT METAPHOR""]},{""start"":151,""end"":162,""text"":""blue collar"",""labels"":[""NOT METAPHOR""]},{""start"":163,""end"":169,""text"":""people"",""labels"":[""NOT METAPHOR""]},{""start"":174,""end"":181,""text"":""elected"",""labels"":[""NOT METAPHOR""]},{""start"":182,""end"":193,""text"":""The Donald."",""labels"":[""NOT METAPHOR""]}]",111.749,"' The problem is bigger than Mr. Trump.'Extending, even, up into the ranks of well-paid lawyers whose services are not affordable by a majority of the blue collar people who elected The Donald.","2024-11-04T23:22:12.977771Z"
3,"4","2024-10-14T23:17:17.186399Z",1,"[{""start"":6,""end"":13,""text"":""problem"",""labels"":[""NOT METAPHOR""]},{""start"":17,""end"":23,""text"":""bigger"",""labels"":[""NOT METAPHOR""]},{""start"":29,""end"":38,""text"":""Mr. Trump"",""labels"":[""NOT METAPHOR""]},{""start"":69,""end"":74,""text"":""ranks"",""labels"":[""NOT METAPHOR""]},{""start"":78,""end"":87,""text"":""well-paid"",""labels"":[""NOT METAPHOR""]},{""start"":88,""end"":95,""text"":""lawyers"",""labels"":[""NOT METAPHOR""]},{""start"":102,""end"":110,""text"":""services"",""labels"":[""NOT METAPHOR""]},{""start"":119,""end"":129,""text"":""affordable"",""labels"":[""NOT METAPHOR""]},{""start"":135,""end"":143,""text"":""majority"",""labels"":[""NOT METAPHOR""]},{""start"":163,""end"":169,""text"":""people"",""labels"":[""NOT METAPHOR""]},{""start"":174,""end"":181,""text"":""elected"",""labels"":[""NOT METAPHOR""]},{""start"":182,""end"":193,""text"":""The Donald."",""labels"":[""METAPHOR""]},{""start"":40,""end"":49,""text"":""Extending"",""labels"":[""NOT METAPHOR""]},{""start"":57,""end"":59,""text"":""up"",""labels"":[""NOT METAPHOR""]},{""start"":151,""end"":162,""text"":""blue collar"",""labels"":[""METAPHOR""]}]",626.072,"' The problem is bigger than Mr. Trump.'Extending, even, up into the ranks of well-paid lawyers whose services are not affordable by a majority of the blue collar people who elected The Donald.","2024-11-06T03:05:24.060017Z"
11,"4","2024-10-15T23:45:12.417722Z",2,"[{""start"":14,""end"":17,""text"":""man"",""labels"":[""NOT METAPHOR""]},{""start"":32,""end"":47,""text"":""president-elect"",""labels"":[""NOT METAPHOR""]},{""start"":55,""end"":63,""text"":""Nonsense"",""labels"":[""NOT METAPHOR""]},{""start"":93,""end"":97,""text"":""past"",""labels"":[""NOT METAPHOR""]},{""start"":117,""end"":123,""text"":""gender"",""labels"":[""NOT METAPHOR""]},{""start"":148,""end"":152,""text"":""ways"",""labels"":[""NOT METAPHOR""]},{""start"":204,""end"":211,""text"":""buffoon"",""labels"":[""METAPHOR""]},{""start"":326,""end"":331,""text"":""women"",""labels"":[""NOT METAPHOR""]},{""start"":347,""end"":350,""text"":""run"",""labels"":[""NOT METAPHOR""]},{""start"":359,""end"":363,""text"":""Dems"",""labels"":[""NOT METAPHOR""]},{""start"":370,""end"":377,""text"":""Clinton"",""labels"":[""NOT METAPHOR""]},{""start"":242,""end"":249,""text"":""buffoon"",""labels"":[""METAPHOR""]},{""start"":298,""end"":306,""text"":""genitals"",""labels"":[""METAPHOR""]},{""start"":159,""end"":164,""text"":""media"",""labels"":[""NOT METAPHOR""]},{""start"":233,""end"":239,""text"":""defeat"",""labels"":[""NOT METAPHOR""]},{""start"":190,""end"":198,""text"":""opponent"",""labels"":[""NOT METAPHOR""]},{""start"":176,""end"":185,""text"":""portrayed"",""labels"":[""NOT METAPHOR""]},{""start"":73,""end"":77,""text"":""lost"",""labels"":[""NOT METAPHOR""]},{""start"":65,""end"":72,""text"":""Clinton"",""labels"":[""NOT METAPHOR""]}]",1531.0910000000001,"'If she was a man, she would be president-elect today.'Nonsense. Clinton lost because of her past not because of her gender. You can't have it both ways - the media constantly portrayed her opponent as a buffoon, yet if she couldn't defeat a buffoon it was because of who she is not because of her genitals. There were better women who could have run but the Dems chose Clinton.","2024-11-05T20:34:42.220243Z"
4,"5","2024-10-15T01:48:09.541950Z",2,"[{""start"":65,""end"":72,""text"":""Clinton"",""labels"":[""NOT METAPHOR""]},{""start"":73,""end"":77,""text"":""lost"",""labels"":[""NOT METAPHOR""]},{""start"":117,""end"":123,""text"":""gender"",""labels"":[""NOT METAPHOR""]},{""start"":93,""end"":97,""text"":""past"",""labels"":[""NOT METAPHOR""]},{""start"":159,""end"":164,""text"":""media"",""labels"":[""NOT METAPHOR""]},{""start"":176,""end"":185,""text"":""portrayed"",""labels"":[""NOT METAPHOR""]},{""start"":165,""end"":175,""text"":""constantly"",""labels"":[""NOT METAPHOR""]},{""start"":190,""end"":198,""text"":""opponent"",""labels"":[""NOT METAPHOR""]},{""start"":204,""end"":211,""text"":""buffoon"",""labels"":[""MAYBE METAPHOR""]},{""start"":242,""end"":249,""text"":""buffoon"",""labels"":[""MAYBE METAPHOR""]},{""start"":233,""end"":239,""text"":""defeat"",""labels"":[""NOT METAPHOR""]},{""start"":298,""end"":306,""text"":""genitals"",""labels"":[""MAYBE METAPHOR""]},{""start"":326,""end"":331,""text"":""women"",""labels"":[""NOT METAPHOR""]},{""start"":347,""end"":350,""text"":""run"",""labels"":[""METAPHOR""]},{""start"":364,""end"":369,""text"":""chose"",""labels"":[""NOT METAPHOR""]},{""start"":14,""end"":17,""text"":""man"",""labels"":[""NOT METAPHOR""]},{""start"":32,""end"":41,""text"":""president"",""labels"":[""NOT METAPHOR""]},{""start"":42,""end"":47,""text"":""elect"",""labels"":[""NOT METAPHOR""]},{""start"":55,""end"":63,""text"":""Nonsense"",""labels"":[""NOT METAPHOR""]},{""start"":370,""end"":377,""text"":""Clinton"",""labels"":[""NOT METAPHOR""]},{""start"":359,""end"":363,""text"":""Dems"",""labels"":[""NOT METAPHOR""]},{""start"":148,""end"":152,""text"":""ways"",""labels"":[""MAYBE METAPHOR""]}]",1288.941,"'If she was a man, she would be president-elect today.'Nonsense. Clinton lost because of her past not because of her gender. You can't have it both ways - the media constantly portrayed her opponent as a buffoon, yet if she couldn't defeat a buffoon it was because of who she is not because of her genitals. There were better women who could have run but the Dems chose Clinton.","2024-10-15T01:48:09.542019Z"
6,"4","2024-10-15T23:17:26.717733Z",3,"[{""start"":175,""end"":183,""text"":""audience"",""labels"":[""NOT METAPHOR""]},{""start"":201,""end"":209,""text"":""politics"",""labels"":[""NOT METAPHOR""]},{""start"":59,""end"":67,""text"":""charisma"",""labels"":[""NOT METAPHOR""]},{""start"":81,""end"":90,""text"":""important"",""labels"":[""NOT METAPHOR""]},{""start"":116,""end"":125,""text"":""qualified"",""labels"":[""NOT METAPHOR""]},{""start"":140,""end"":146,""text"":""engage"",""labels"":[""NOT METAPHOR""]},{""start"":152,""end"":162,""text"":""meaningful"",""labels"":[""NOT METAPHOR""]},{""start"":163,""end"":166,""text"":""way"",""labels"":[""NOT METAPHOR""]},{""start"":286,""end"":290,""text"":""live"",""labels"":[""NOT METAPHOR""]},{""start"":249,""end"":256,""text"":""reality"",""labels"":[""NOT METAPHOR""]},{""start"":23,""end"":27,""text"":""tell"",""labels"":[""NOT METAPHOR""]},{""start"":44,""end"":48,""text"":""Tell"",""labels"":[""NOT METAPHOR""]},{""start"":191,""end"":197,""text"":""career"",""labels"":[""NOT METAPHOR""]},{""start"":263,""end"":282,""text"":"" social media world"",""labels"":[""NOT METAPHOR""]},{""start"":33,""end"":42,""text"":""daughters"",""labels"":[""MAYBE METAPHOR""]}]",848.9440000000001,"'What are you going to tell your daughters?'Tell them that charisma is extremely important and that even if you are qualified if you cannot engage in a meaningful way with an audience then a career in politics is not for you. Sorry, but that it the reality of the social media world we live in.","2024-11-06T03:06:35.348854Z"
5,"5","2024-10-15T01:54:19.584805Z",3,"[{""start"":23,""end"":27,""text"":""tell"",""labels"":[""MAYBE METAPHOR""]},{""start"":33,""end"":42,""text"":""daughters"",""labels"":[""NOT METAPHOR""]},{""start"":59,""end"":67,""text"":""charisma"",""labels"":[""NOT METAPHOR""]},{""start"":44,""end"":48,""text"":""Tell"",""labels"":[""MAYBE METAPHOR""]},{""start"":71,""end"":80,""text"":""extremely"",""labels"":[""NOT METAPHOR""]},{""start"":81,""end"":90,""text"":""important"",""labels"":[""NOT METAPHOR""]},{""start"":116,""end"":125,""text"":""qualified"",""labels"":[""NOT METAPHOR""]},{""start"":140,""end"":146,""text"":""engage"",""labels"":[""MAYBE METAPHOR""]},{""start"":152,""end"":162,""text"":""meaningful"",""labels"":[""MAYBE METAPHOR""]},{""start"":175,""end"":183,""text"":""audience"",""labels"":[""METAPHOR""]},{""start"":191,""end"":197,""text"":""career"",""labels"":[""NOT METAPHOR""]},{""start"":201,""end"":209,""text"":""politics"",""labels"":[""NOT METAPHOR""]},{""start"":249,""end"":256,""text"":""reality"",""labels"":[""NOT METAPHOR""]},{""start"":264,""end"":270,""text"":""social"",""labels"":[""METAPHOR""]},{""start"":271,""end"":276,""text"":""media"",""labels"":[""METAPHOR""]},{""start"":277,""end"":282,""text"":""world"",""labels"":[""METAPHOR""]},{""start"":286,""end"":290,""text"":""live"",""labels"":[""MAYBE METAPHOR""]}]",343.141,"'What are you going to tell your daughters?'Tell them that charisma is extremely important and that even if you are qualified if you cannot engage in a meaningful way with an audience then a career in politics is not for you. Sorry, but that it the reality of the social media world we live in.","2024-10-15T01:54:19.584845Z"
9,"4","2024-10-15T23:34:12.548500Z",4,"[{""start"":23,""end"":27,""text"":""tell"",""labels"":[""MAYBE METAPHOR""]},{""start"":33,""end"":42,""text"":""daughters"",""labels"":[""MAYBE METAPHOR""]},{""start"":60,""end"":65,""text"":""tell "",""labels"":[""MAYBE METAPHOR""]},{""start"":75,""end"":81,""text"":""plenty"",""labels"":[""NOT METAPHOR""]},{""start"":91,""end"":100,""text"":""countries"",""labels"":[""NOT METAPHOR""]},{""start"":108,""end"":113,""text"":""world"",""labels"":[""NOT METAPHOR""]},{""start"":119,""end"":126,""text"":""elected"",""labels"":[""NOT METAPHOR""]},{""start"":127,""end"":133,""text"":""female"",""labels"":[""NOT METAPHOR""]},{""start"":134,""end"":141,""text"":""leaders"",""labels"":[""NOT METAPHOR""]},{""start"":142,""end"":158,""text"":"" prime ministers"",""labels"":[""NOT METAPHOR""]},{""start"":164,""end"":174,""text"":""presidents"",""labels"":[""NOT METAPHOR""]},{""start"":195,""end"":216,""text"":""third world countries"",""labels"":[""NOT METAPHOR""]},{""start"":255,""end"":261,""text"":""female"",""labels"":[""NOT METAPHOR""]},{""start"":268,""end"":277,""text"":""guarantee"",""labels"":[""NOT METAPHOR""]},{""start"":293,""end"":300,""text"":""succeed"",""labels"":[""NOT METAPHOR""]},{""start"":359,""end"":362,""text"":""run"",""labels"":[""MAYBE METAPHOR""]},{""start"":383,""end"":389,""text"":""gender"",""labels"":[""MAYBE METAPHOR""]},{""start"":576,""end"":580,""text"":""sons"",""labels"":[""MAYBE METAPHOR""]},{""start"":448,""end"":452,""text"":""tell"",""labels"":[""MAYBE METAPHOR""]},{""start"":396,""end"":405,""text"":""guarantee"",""labels"":[""NOT METAPHOR""]},{""start"":409,""end"":416,""text"":""winning"",""labels"":[""NOT METAPHOR""]},{""start"":420,""end"":426,""text"":""losing"",""labels"":[""NOT METAPHOR""]},{""start"":317,""end"":320,""text"":""job"",""labels"":[""NOT METAPHOR""]},{""start"":313,""end"":316,""text"":""top"",""labels"":[""METAPHOR""]},{""start"":234,""end"":238,""text"":""tell"",""labels"":[""MAYBE METAPHOR""]},{""start"":239,""end"":243,""text"":""them"",""labels"":[""MAYBE METAPHOR""]},{""start"":472,""end"":481,""text"":""qualified"",""labels"":[""NOT METAPHOR""]},{""start"":482,""end"":488,""text"":""person"",""labels"":[""NOT METAPHOR""]},{""start"":517,""end"":533,""text"":""elected position"",""labels"":[""NOT METAPHOR""]},{""start"":542,""end"":545,""text"":""job"",""labels"":[""NOT METAPHOR""]},{""start"":585,""end"":601,""text"":""exact same thing"",""labels"":[""MAYBE METAPHOR""]},{""start"":567,""end"":571,""text"":""tell"",""labels"":[""MAYBE METAPHOR""]}]",1011.0649999999999,"'What are you going to tell your daughters?'We are going to tell them that plenty of other countries in the world have elected female leaders, prime ministers, and presidents. Some of them even 'third world countries'.We are going to tell them that being female is no guarantee that they will succeed, or get the top job. We are going to tell them, when they run for election, their gender is no guarantee of winning or losing. And we are going to tell them that the most qualified person does not always get the the elected position. Or the job. And we are going to tell our sons the exact same thing.","2024-10-16T20:44:21.464192Z"
7,"5","2024-10-15T23:31:35.856969Z",4,"[{""start"":33,""end"":42,""text"":""daughters"",""labels"":[""NOT METAPHOR""]},{""start"":44,""end"":46,""text"":""We"",""labels"":[""NOT METAPHOR""]},{""start"":108,""end"":113,""text"":""world"",""labels"":[""NOT METAPHOR""]},{""start"":91,""end"":100,""text"":""countries"",""labels"":[""NOT METAPHOR""]},{""start"":119,""end"":126,""text"":""elected"",""labels"":[""NOT METAPHOR""]},{""start"":127,""end"":133,""text"":""female"",""labels"":[""NOT METAPHOR""]},{""start"":134,""end"":141,""text"":""leaders"",""labels"":[""NOT METAPHOR""]},{""start"":143,""end"":159,""text"":""prime ministers,"",""labels"":[""NOT METAPHOR""]},{""start"":164,""end"":174,""text"":""presidents"",""labels"":[""NOT METAPHOR""]},{""start"":195,""end"":217,""text"":""third world countries'"",""labels"":[""NOT METAPHOR""]},{""start"":218,""end"":220,""text"":""We"",""labels"":[""NOT METAPHOR""]},{""start"":255,""end"":261,""text"":""female"",""labels"":[""NOT METAPHOR""]},{""start"":268,""end"":277,""text"":""guarantee"",""labels"":[""NOT METAPHOR""]},{""start"":283,""end"":287,""text"":""they"",""labels"":[""NOT METAPHOR""]},{""start"":293,""end"":300,""text"":""succeed"",""labels"":[""NOT METAPHOR""]},{""start"":305,""end"":308,""text"":""get"",""labels"":[""NOT METAPHOR""]},{""start"":313,""end"":316,""text"":""top"",""labels"":[""METAPHOR""]},{""start"":317,""end"":320,""text"":""job"",""labels"":[""NOT METAPHOR""]},{""start"":322,""end"":324,""text"":""We"",""labels"":[""NOT METAPHOR""]},{""start"":354,""end"":358,""text"":""they"",""labels"":[""NOT METAPHOR""]},{""start"":359,""end"":362,""text"":""run"",""labels"":[""NOT METAPHOR""]},{""start"":367,""end"":375,""text"":""election"",""labels"":[""NOT METAPHOR""]},{""start"":383,""end"":389,""text"":""gender"",""labels"":[""NOT METAPHOR""]},{""start"":396,""end"":405,""text"":""guarantee"",""labels"":[""NOT METAPHOR""]},{""start"":409,""end"":416,""text"":""winning"",""labels"":[""NOT METAPHOR""]},{""start"":420,""end"":426,""text"":""losing"",""labels"":[""NOT METAPHOR""]},{""start"":432,""end"":434,""text"":""we"",""labels"":[""NOT METAPHOR""]},{""start"":467,""end"":471,""text"":""most"",""labels"":[""NOT METAPHOR""]},{""start"":472,""end"":481,""text"":""qualified"",""labels"":[""NOT METAPHOR""]},{""start"":482,""end"":488,""text"":""person"",""labels"":[""NOT METAPHOR""]},{""start"":505,""end"":508,""text"":""get"",""labels"":[""NOT METAPHOR""]},{""start"":517,""end"":524,""text"":""elected"",""labels"":[""NOT METAPHOR""]},{""start"":525,""end"":533,""text"":""position"",""labels"":[""NOT METAPHOR""]},{""start"":542,""end"":545,""text"":""job"",""labels"":[""NOT METAPHOR""]},{""start"":576,""end"":580,""text"":""sons"",""labels"":[""NOT METAPHOR""]},{""start"":596,""end"":601,""text"":""thing"",""labels"":[""NOT METAPHOR""]},{""start"":585,""end"":590,""text"":""exact"",""labels"":[""NOT METAPHOR""]}]",1712.996,"'What are you going to tell your daughters?'We are going to tell them that plenty of other countries in the world have elected female leaders, prime ministers, and presidents. Some of them even 'third world countries'.We are going to tell them that being female is no guarantee that they will succeed, or get the top job. We are going to tell them, when they run for election, their gender is no guarantee of winning or losing. And we are going to tell them that the most qualified person does not always get the the elected position. Or the job. And we are going to tell our sons the exact same thing.","2024-10-15T23:31:35.857008Z"
10,"4","2024-10-15T23:39:44.288076Z",5,"[{""start"":2,""end"":10,""text"":""PR piece"",""labels"":[""NOT METAPHOR""]},{""start"":23,""end"":30,""text"":""reverse"",""labels"":[""NOT METAPHOR""]},{""start"":39,""end"":45,""text"":""damage"",""labels"":[""NOT METAPHOR""]},{""start"":57,""end"":62,""text"":""women"",""labels"":[""NOT METAPHOR""]},{""start"":81,""end"":91,""text"":""creepy guy"",""labels"":[""NOT METAPHOR""]}]",131.21,"A PR piece designed to reverse all the damage she did to women by defending that creepy guy.","2024-11-05T20:33:52.604035Z"
8,"5","2024-10-15T23:34:02.220988Z",5,"[{""start"":2,""end"":10,""text"":""PR piece"",""labels"":[""NOT METAPHOR""]},{""start"":11,""end"":19,""text"":""designed"",""labels"":[""NOT METAPHOR""]},{""start"":23,""end"":30,""text"":""reverse"",""labels"":[""NOT METAPHOR""]},{""start"":39,""end"":45,""text"":""damage"",""labels"":[""NOT METAPHOR""]},{""start"":46,""end"":49,""text"":""she"",""labels"":[""NOT METAPHOR""]},{""start"":57,""end"":62,""text"":""women"",""labels"":[""NOT METAPHOR""]},{""start"":66,""end"":75,""text"":""defending"",""labels"":[""NOT METAPHOR""]},{""start"":81,""end"":87,""text"":""creepy"",""labels"":[""NOT METAPHOR""]},{""start"":88,""end"":91,""text"":""guy"",""labels"":[""NOT METAPHOR""]}]",132.23,"A PR piece designed to reverse all the damage she did to women by defending that creepy guy.","2024-10-15T23:34:02.221029Z"
